<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Ralph Ogden,1971,1971,F,6-5,205,January 25 1948,Santa Clara University
Alan Ogg,1991,1993,C,7-2,240,July 5 1967,University of Alabama at Birmingham
Don Ohl,1961,1970,G,6-3,190,April 18 1936,University of Illinois at Urbana-Champaign
Tim Ohlbrecht,2013,2013,C,6-11,255,August 30 1988,
Emeka Okafor,2005,2013,C-F,6-10,252,September 28 1982,University of Connecticut
Jahlil Okafor,2016,2016,C,6-11,275,December 15 1995,Duke University
Mehmet Okur,2003,2012,F-C,6-11,249,May 26 1979,
Victor Oladipo,2014,2016,G,6-4,210,May 4 1992,Indiana University
Hakeem Olajuwon*,1985,2002,C,7-0,255,January 21 1963,University of Houston
Mark Olberding,1976,1987,F,6-8,225,April 21 1956,University of Minnesota
Jawann Oldham,1981,1991,C,7-0,215,July 4 1957,Seattle University
John Oldham,1950,1951,G,6-3,175,June 22 1923,Western Kentucky University
Frank Oleynick,1976,1977,G,6-2,185,February 20 1955,Seattle University
John Olive,1979,1980,F,6-7,210,March 1 1955,Villanova University
Brian Oliver,1991,1998,G,6-4,210,June 1 1968,Georgia Institute of Technology
Dean Oliver,2002,2003,G,5-11,180,November 5 1978,University of Iowa
Jimmy Oliver,1992,1999,G-F,6-5,205,July 12 1969,Purdue University
Kevin Ollie,1998,2010,G,6-4,195,December 27 1972,University of Connecticut
Gene Ollrich,1950,1950,G,5-11,160,June 30 1922,Drake University
Michael Olowokandi,1999,2007,C,7-0,269,April 3 1975,University of the Pacific
Bud Olsen,1963,1970,F-C,6-8,220,July 25 1940,University of Louisville
Kelly Olynyk,2014,2016,F,7-0,238,April 19 1991,Gonzaga University
Arinze Onuaku,2014,2015,F,6-9,275,July 13 1987,Syracuse University
Barry Orms,1969,1970,G,6-3,190,May 1 1946,Saint Louis University
Johnny Orr,1950,1950,F,6-3,195,June 10 1927,Beloit College
Louis Orr,1981,1988,F,6-8,175,May 7 1958,Syracuse University
Jose Ortiz,1989,1990,F,6-10,225,October 25 1963,Oregon State University
Daniel Orton,2012,2014,F,6-10,255,August 6 1990,University of Kentucky
Chuck Osborne,1962,1962,F,6-6,210,January 21 1939,Western Kentucky University
Wally Osterkorn,1952,1955,F-C,6-5,215,July 6 1928,University of Illinois at Urbana-Champaign
Greg Ostertag,1996,2006,C,7-2,280,March 6 1973,University of Kansas
Matt Othick,1993,1993,G,6-2,165,March 16 1969,University of Arizona
Don Otten,1950,1953,C,6-10,240,April 18 1921,Bowling Green State University
Mac Otten,1950,1950,F-C,6-7,220,December 16 1925,Bowling Green State University
Kelly Oubre,2016,2016,F,6-7,205,December 9 1995,University of Kansas
Bo Outlaw,1994,2008,F,6-8,210,April 13 1971,University of Houston
Travis Outlaw,2004,2014,F,6-9,210,September 18 1984,
Claude Overton,1953,1953,G,6-2,195,December 16 1927,East Central University
Doug Overton,1993,2004,G,6-3,190,August 3 1969,La Salle University
Andre Owens,2006,2008,G,6-4,200,October 31 1980,University of Houston
Billy Owens,1992,2001,F-G,6-8,220,May 1 1969,Syracuse University
Chris Owens,2003,2003,F,6-7,245,March 1 1979,University of Texas at Austin
Eddie Owens,1978,1978,F,6-7,210,December 26 1953,University of Nevada Las Vegas
Jim Owens,1974,1975,F,6-5,200,May 1 1950,Arizona State University
Keith Owens,1992,1992,F,6-7,225,May 31 1969,University of California Los Angeles
Larry Owens,2011,2012,F,6-7,210,January 8 1983,Oral Roberts University
Red Owens,1950,1952,G-F,6-3,185,September 2 1925,Baylor University
Tom Owens,1972,1983,C-F,6-10,215,June 28 1949,University of South Carolina
Ray Owes,1997,1997,F,6-9,224,December 11 1972,University of Arizona
Olumide Oyedeji,2001,2003,C,6-10,240,May 11 1981,
