<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Mike Bantom,1974,1982,F-C,6-9,200,December 3 1951,Saint Joseph's University
John Barber,1957,1957,F,6-6,210,June 27 1927,California State University Los Angeles
Leandro Barbosa,2004,2016,G,6-3,194,November 28 1982,
Steve Bardo,1992,1996,G,6-5,190,April 5 1968,University of Illinois at Urbana-Champaign
J.J. Barea,2007,2016,G,6-0,185,June 26 1984,Northeastern University
Andrea Bargnani,2007,2016,F-C,7-0,245,October 26 1985,
Cliff Barker,1950,1952,G,6-2,185,January 15 1921,University of Kentucky
Tom Barker,1977,1979,C-F,6-11,225,March 11 1955,University of Hawaii
Charles Barkley*,1985,2000,F,6-6,252,February 20 1963,Auburn University
Erick Barkley,2001,2002,G,6-1,177,February 21 1978,St. John's University
Don Barksdale*,1952,1955,F-C,6-6,200,March 31 1923,University of California Los Angeles
Harrison Barnes,2013,2016,F,6-8,210,May 30 1992,University of North Carolina
Harry Barnes,1969,1969,F,6-3,205,July 25 1945,Northeastern University
Jim Barnes,1965,1971,C-F,6-8,210,April 13 1941,University of Texas at El Paso
Marvin Barnes,1975,1980,F-C,6-8,210,July 27 1952,Providence College
Matt Barnes,2004,2016,F,6-7,226,March 9 1980,University of California Los Angeles
Dick Barnett,1960,1974,G-F,6-4,190,October 2 1936,Tennessee State University
Jim Barnett,1967,1977,G-F,6-4,170,July 7 1944,University of Oregon
Nathaniel Barnett,1976,1976,G,6-3,175,January 29 1953,University of Akron
John Barnhill,1963,1972,G,6-1,180,March 20 1938,Tennessee State University
Norton Barnhill,1977,1977,G,6-4,205,July 15 1953,Washington State University
Leo Barnhorst,1950,1954,F-G,6-4,190,May 11 1924,University of Notre Dame
John Barr,1947,1947,F,6-3,205,August 8 1918,Pennsylvania State University
Mike Barr,1973,1977,G,6-3,180,October 19 1950,Duquesne University
Moe Barr,1971,1971,G,6-4,195,June 19 1944,Duquesne University
Andre Barrett,2005,2008,G,5-10,172,February 21 1982,Seton Hall University
Ernie Barrett,1954,1956,G-F,6-3,180,August 27 1929,Kansas State University
Mike Barrett,1970,1973,G,6-2,155,September 5 1943,West Virginia University Institute of Technology
Earl Barron,2006,2015,C,7-0,250,August 14 1981,University of Memphis
Dana Barros,1990,2004,G,5-11,163,April 13 1967,Boston College
Brent Barry,1996,2009,G,6-6,185,December 31 1971,Oregon State University
Drew Barry,1998,2000,G,6-5,191,February 17 1973,Georgia Institute of Technology
Jon Barry,1993,2006,G,6-4,195,July 25 1969,Georgia Institute of Technology
Rick Barry*,1966,1980,F,6-7,205,March 28 1944,University of Miami
Ed Bartels,1950,1951,F,6-5,195,October 8 1925,North Carolina State University
Vic Bartolome,1972,1972,C,7-0,230,September 29 1948,Oregon State University
Will Barton,2013,2016,G,6-6,175,January 6 1991,University of Memphis
Eddie Basden,2006,2006,G,6-5,215,February 15 1983,University of North Carolina at Charlotte
Jerry Baskerville,1976,1976,F,6-7,190,November 10 1951,Temple University
Brandon Bass,2006,2016,F,6-8,250,April 30 1985,Louisiana State University
Tim Bassett,1974,1980,F-C,6-8,225,April 1 1951,University of Georgia
Maceo Baston,2003,2009,F,6-9,215,May 29 1975,University of Michigan
Mengke Bateer,2002,2004,C,6-11,290,November 20 1975,
Billy Ray Bates,1980,1983,G,6-4,210,May 31 1956,Kentucky State University
Esteban Batista,2006,2007,F-C,6-10,270,September 2 1983,
Mike Batiste,2003,2003,F,6-8,225,November 21 1977,Arizona State University
Tony Battie,1998,2012,C-F,6-11,230,February 11 1976,Texas Tech University
Shane Battier,2002,2014,F,6-8,220,September 9 1978,Duke University
John Battle,1986,1995,G,6-2,175,November 9 1962,Rutgers University
Kenny Battle,1990,1993,F,6-6,210,October 10 1964,University of Illinois at Urbana-Champaign
Dave Batton,1983,1984,C,6-10,240,March 26 1956,University of Notre Dame
Lloyd Batts,1975,1975,G-F,6-4,185,May 9 1951,University of Cincinnati
Nicolas Batum,2009,2016,F-G,6-8,200,December 14 1988,
Johnny Baum,1970,1974,F,6-5,200,June 17 1946,Temple University
Frankie Baumholtz,1947,1947,G,5-10,170,October 7 1918,Ohio University
Lonny Baxter,2003,2006,F,6-8,260,January 27 1979,University of Maryland
Jerryd Bayless,2009,2016,G,6-3,200,August 20 1988,University of Arizona
Elgin Baylor*,1959,1972,F,6-5,225,September 16 1934,Seattle University
Howard Bayne,1968,1968,F,6-6,235,July 28 1942,University of Tennessee
Aron Baynes,2013,2016,F-C,6-10,260,December 9 1986,Washington State University
Sergei Bazarevich,1995,1995,G,6-2,168,March 16 1965,
Kent Bazemore,2013,2016,G-F,6-5,201,July 1 1989,Old Dominion University
Ed Beach,1951,1951,F,6-3,200,January 25 1929,West Virginia University
Bradley Beal,2013,2016,G,6-5,207,June 28 1993,University of Florida
Al Beard,1968,1968,C,6-9,200,April 27 1942,Norfolk State University
Butch Beard,1970,1979,G,6-3,185,May 4 1947,University of Louisville
Ralph Beard,1950,1951,G,5-10,175,December 2 1927,University of Kentucky
Charles Beasley,1968,1971,G-F,6-5,190,September 23 1945,Southern Methodist University
Jerome Beasley,2004,2004,F,6-10,237,May 17 1980,University of North Dakota
John Beasley,1968,1974,F-C,6-9,225,February 5 1944,Texas A&M University
Michael Beasley,2009,2015,F,6-9,235,January 9 1989,Kansas State University
Zelmo Beaty,1963,1975,C,6-9,225,October 25 1939,Prairie View A&M University
Rodrigue Beaubois,2010,2013,G,6-0,170,February 24 1988,
Byron Beck,1968,1977,C-F,6-9,225,January 25 1945,University of Denver
Corey Beck,1996,1999,G,6-1,190,May 27 1971,University of Arkansas
Ernie Beck,1954,1961,G-F,6-4,190,December 11 1931,University of Pennsylvania
Arthur Becker,1968,1973,F,6-7,205,January 12 1942,Arizona State University
Moe Becker,1947,1947,G-F,6-1,185,February 24 1917,Duquesne University
Bob Bedell,1968,1971,F,6-7,205,June 26 1944,Stanford University
William Bedford,1987,1993,C,7-0,225,December 14 1963,University of Memphis
Hank Beenders,1947,1949,C-F,6-6,185,June 2 1916,Long Island University
Ron Behagen,1974,1980,F-C,6-9,185,January 14 1951,University of Minnesota
Elmer Behnke,1952,1952,C,6-7,210,February 3 1929,Bradley University
Marco Belinelli,2008,2016,G-F,6-5,210,March 25 1986,
Charlie Bell,2002,2011,G,6-3,200,March 12 1979,Michigan State University
Dennis Bell,1974,1976,F,6-5,185,June 2 1951,Drake University
Raja Bell,2001,2012,G,6-5,204,September 19 1976,Florida International University
Troy Bell,2004,2004,G,6-1,180,November 10 1980,Boston College
Whitey Bell,1960,1961,G,6-0,180,September 13 1932,North Carolina State University
Walt Bellamy*,1962,1975,C,6-11,225,July 24 1939,Indiana University
Irv Bemoras,1954,1957,F-G,6-3,185,November 18 1930,University of Illinois at Urbana-Champaign
Leon Benbow,1975,1976,G,6-4,185,July 23 1950,Jacksonville University
Jonathan Bender,2000,2010,F,6-11,202,January 30 1981,
Jerrelle Benimon,2015,2015,F,6-8,245,August 1 1991,Towson University
Benoit Benjamin,1986,2000,C,7-0,250,November 22 1964,Creighton University
Corey Benjamin,1999,2003,G,6-6,200,February 24 1978,Oregon State University
Anthony Bennett,2014,2016,F,6-8,245,March 14 1993,University of Nevada Las Vegas
Elmer Bennett,1995,1997,G,6-0,170,February 13 1970,University of Notre Dame
Mario Bennett,1996,2000,F,6-6,235,August 1 1973,Arizona State University
Mel Bennett,1976,1982,F,6-7,200,January 4 1955,University of Pittsburgh
Spider Bennett,1969,1969,G,6-3,190,August 4 1943,Winston-Salem State University
Tony Bennett,1993,1995,G,6-0,175,June 1 1969,University of Wisconsin-Green Bay
Winston Bennett,1990,1992,F,6-7,210,February 9 1965,University of Kentucky
David Benoit,1992,2001,F,6-8,220,May 9 1968,University of Alabama
Keith Benson,2012,2012,C,6-11,240,August 13 1988,Oakland University
Kent Benson,1978,1988,C,6-10,235,December 27 1954,Indiana University
Gene Berce,1950,1950,G-F,5-11,175,November 22 1926,Marquette University
Gary Bergen,1957,1957,C,6-8,210,July 16 1932,University of Utah
Larry Bergh,1970,1970,F,6-8,210,April 2 1945,Weber State University
Ricky Berry,1989,1989,F,6-8,205,October 6 1964,San Jose State University
Walter Berry,1987,1989,F,6-8,215,May 14 1964,St. John's University
Del Beshore,1979,1980,G,5-11,165,November 29 1956,California University of Pennslyvania
Travis Best,1996,2005,G,5-11,182,July 12 1972,Georgia Institute of Technology
Patrick Beverley,2013,2016,G,6-1,185,July 12 1988,University of Arkansas
Sim Bhullar,2015,2015,C,7-5,360,December 2 1992,New Mexico State University
Wesley Bialosuknia,1968,1968,G,6-2,185,June 8 1945,University of Connecticut
Al Bianchi,1957,1966,G,6-3,185,March 26 1932,Bowling Green State University
Hank Biasatti,1947,1947,G,5-11,175,January 14 1922,Long Island University
Henry Bibby,1973,1981,G,6-1,185,November 24 1949,University of California Los Angeles
Mike Bibby,1999,2012,G,6-1,190,May 13 1978,University of Arizona
Ed Biedenbach,1969,1969,G,6-1,175,August 12 1945,North Carolina State University
Andris Biedrins,2005,2014,C,6-11,240,April 2 1986,
Don Bielke,1956,1956,C,6-7,240,,Valparaiso University
Bob Bigelow,1976,1979,F-G,6-7,215,December 26 1953,University of Pennsylvania
Lionel Billingy,1975,1975,F-C,6-9,215,August 31 1952,Duquesne University
Chauncey Billups,1998,2014,G,6-3,202,September 25 1976,University of Colorado
Dave Bing*,1967,1978,G,6-3,180,November 24 1943,Syracuse University
Joe Binion,1987,1987,F,6-8,235,March 26 1961,North Carolina Agricultural and Technical State University
Jerry Bird,1959,1959,F,6-6,210,February 2 1935,University of Kentucky
Larry Bird*,1980,1992,F,6-9,220,December 7 1956,Indiana State University
Otis Birdsong,1978,1989,G,6-3,190,December 9 1955,University of Houston
Gale Bishop,1949,1949,F,6-3,195,June 4 1922,Washington State University
Bismack Biyombo,2012,2016,C-F,6-9,245,August 28 1992,
Nemanja Bjelica,2016,2016,F,6-10,240,May 9 1988,
Uwe Blab,1986,1990,C,7-1,252,March 26 1962,Indiana University
Charlie Black,1949,1952,F-C,6-5,200,June 15 1921,University of Kansas
Norman Black,1981,1981,G,6-5,185,November 12 1957,Saint Joseph's University
Tarik Black,2015,2016,C-F,6-9,250,November 22 1991,University of Kansas
Tom Black,1971,1971,C,6-10,220,July 9 1941,South Dakota State University
Rolando Blackman,1982,1994,G,6-6,190,February 26 1959,Kansas State University
Alex Blackwell,1993,1993,F,6-6,250,June 27 1970,Monmouth University
Cory Blackwell,1985,1985,F,6-6,210,March 27 1963,University of Wisconsin
James Blackwell,1995,1995,G,6-0,190,February 25 1968,Dartmouth College
Nate Blackwell,1988,1988,G,6-4,170,February 15 1965,Temple University
DeJuan Blair,2010,2016,F-C,6-7,270,April 22 1989,University of Pittsburgh
Steve Blake,2004,2016,G,6-3,172,February 26 1980,University of Maryland
Will Blalock,2007,2007,G,6-0,205,September 8 1983,Iowa State University
George Blaney,1962,1962,G,6-1,175,November 12 1939,College of the Holy Cross
Lance Blanks,1991,1993,G,6-4,190,September 9 1966,University of Texas at Austin
Ricky Blanton,1993,1993,F,6-7,215,April 21 1966,Louisiana State University
Andray Blatche,2006,2014,F,6-11,235,August 22 1986,
Mookie Blaylock,1990,2002,G,6-0,180,March 20 1967,University of Oklahoma
Eric Bledsoe,2011,2016,G,6-1,190,December 9 1989,University of Kentucky
Leon Blevins,1951,1951,G,6-2,160,June 25 1926,University of Arizona
John Block,1967,1976,F-C,6-9,207,April 16 1944,University of Southern California
Mike Bloom,1948,1949,F-C,6-6,190,January 14 1915,Temple University
Corie Blount,1994,2004,F,6-9,240,January 4 1969,University of Cincinnati
Mark Blount,2001,2009,C,7-0,230,November 30 1975,University of Pittsburgh
Vander Blue,2014,2015,G,6-4,200,July 17 1992,Marquette University
Ray Blume,1982,1982,G,6-4,185,September 23 1958,Oregon State University
Nelson Bobb,1950,1953,G,6-0,170,February 25 1924,Temple University
Tony Bobbitt,2005,2005,G,6-4,190,October 22 1979,University of Cincinnati
Bucky Bockhorn,1959,1965,G,6-4,200,July 8 1933,University of Dayton
Tom Boerwinkle,1969,1978,C,7-0,265,August 23 1945,University of Tennessee
Keith Bogans,2004,2014,G-F,6-5,215,May 12 1980,University of Kentucky
Bojan Bogdanovic,2015,2016,G-F,6-8,216,April 18 1989,
Muggsy Bogues,1988,2001,G,5-3,136,January 9 1965,Wake Forest University
Andrew Bogut,2006,2016,C,7-0,260,November 28 1984,University of Utah
Etdrick Bohannon,1998,2001,F,6-9,220,May 29 1973,Auburn University at Montgomery
Manute Bol,1986,1995,C,7-7,200,October 16 1962,University of Bridgeport
Bill Bolger,1954,1954,F,6-5,205,August 21 1931,Georgetown University
Doug Bolstorff,1958,1958,G,6-4,195,October 29 1931,University of Minnesota
George Bon Salle,1962,1962,F,6-8,220,July 1 1935,University of Illinois at Urbana-Champaign
Phil Bond,1978,1978,G,6-2,175,July 27 1954,University of Louisville
Walter Bond,1993,1995,G,6-5,200,February 1 1969,University of Minnesota
Dexter Boney,1997,1997,G,6-4,185,April 27 1970,University of Nevada Las Vegas
Ron Bonham,1965,1968,F,6-5,192,May 31 1942,University of Cincinnati
Anthony Bonner,1991,1996,F,6-8,215,June 8 1968,Saint Louis University
Matt Bonner,2005,2015,F,6-10,235,April 5 1980,University of Florida
Butch Booker,1970,1970,C,6-10,230,July 20 1945,Cheyney University of Pennsylvania
Devin Booker,2016,2016,G,6-6,206,October 30 1996,University of Kentucky
Melvin Booker,1996,1997,G,6-1,185,August 20 1972,University of Missouri
Trevor Booker,2011,2016,F,6-8,228,November 25 1987,Clemson University
Josh Boone,2007,2010,F-C,6-10,237,November 21 1984,University of Connecticut
Ron Boone,1969,1981,G-F,6-2,200,September 6 1946,Idaho State University
Calvin Booth,2000,2009,C,6-11,230,May 7 1976,Pennsylvania State University
Keith Booth,1998,1999,F,6-6,226,October 9 1974,University of Maryland
Bob Boozer,1961,1971,F,6-8,215,April 26 1937,Kansas State University
Carlos Boozer,2003,2015,F-C,6-9,258,November 20 1981,Duke University
Curtis Borchardt,2004,2005,C,7-0,240,September 13 1980,Stanford University
Jake Bornheimer,1949,1950,F-C,6-5,200,June 29 1927,Muhlenberg College
Lazaro Borrell,2000,2000,F,6-8,220,September 20 1972,
Ike Borsavage,1951,1951,C-F,6-8,220,July 25 1924,Temple University
Vince Boryla,1950,1954,F,6-5,210,March 11 1927,University of Denver
Chris Bosh,2004,2016,F-C,6-11,235,March 24 1984,Georgia Institute of Technology
Jim Bostic,1978,1978,F,6-7,225,January 28 1953,New Mexico State University
Lawrence Boston,1980,1980,F,6-8,225,May 18 1956,University of Maryland
Tom Boswell,1976,1984,F-C,6-9,220,October 2 1953,University of South Carolina
Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,May 20 1978,Georgetown University
Don Boven,1950,1953,F-G,6-4,210,March 6 1925,Western Michigan University
Cal Bowdler,2000,2002,F,6-10,245,March 31 1977,Old Dominion University
Bruce Bowen,1997,2009,F,6-7,185,June 14 1971,California State University Fullerton
Ryan Bowen,2000,2010,F,6-7,215,November 20 1975,University of Iowa
Tommie Bowens,1968,1970,F-C,6-8,220,July 7 1940,Grambling State University
Anthony Bowie,1989,1998,G-F,6-6,190,November 9 1963,University of Oklahoma
Sam Bowie,1985,1995,C-F,7-1,235,March 17 1961,University of Kentucky
Orbie Bowling,1968,1968,C,6-10,215,March 21 1939,University of Tennessee
Ira Bowman,2000,2002,G,6-5,195,June 11 1973,University of Pennsylvania
Nate Bowman,1967,1972,C,6-10,230,March 19 1943,Wichita State University
Donnie Boyce,1996,1997,G,6-5,196,September 2 1973,University of Colorado
Dennis Boyd,1979,1979,G,6-1,175,May 21 1954,University of Detroit Mercy
Freddie Boyd,1973,1978,G,6-2,180,June 13 1950,Oregon State University
Ken Boyd,1975,1975,F,6-5,195,March 25 1952,Boston University
Earl Boykins,1999,2012,G,5-5,135,June 2 1976,Eastern Michigan University
Harry Boykoff,1950,1951,C,6-10,225,July 24 1922,St. John's University
Winford Boynes,1979,1981,G-F,6-6,185,May 17 1957,University of San Francisco
Cedric Bozeman,2007,2007,G,6-6,207,March 7 1983,University of California Los Angeles
Steve Bracey,1973,1975,G,6-1,175,August 1 1950,University of Tulsa
Craig Brackins,2011,2012,F,6-10,230,October 9 1987,Iowa State University
Gary Bradds,1965,1971,F,6-8,210,July 26 1942,Ohio State University
Alex Bradley,1982,1982,F,6-6,215,October 30 1959,Villanova University
Alonzo Bradley,1978,1980,F,6-6,190,October 16 1953,Texas Southern University
Avery Bradley,2011,2016,G,6-2,180,November 26 1990,University of Texas at Austin
Bill Bradley,1968,1968,G,5-11,165,June 16 1941,
Bill Bradley*,1968,1977,F-G,6-5,205,July 28 1943,Princeton University
Charles Bradley,1982,1984,G,6-5,215,May 16 1959,University of Wyoming
Dudley Bradley,1980,1989,G-F,6-6,195,March 19 1957,University of North Carolina
Jim Bradley,1974,1976,F,6-8,215,March 16 1952,Northern Illinois University
Joe Bradley,1950,1950,G,6-3,175,September 24 1928,Oklahoma State University
Michael Bradley,2002,2006,F,6-10,245,April 18 1979,Villanova University
Shawn Bradley,1994,2005,C,7-6,235,March 22 1972,Brigham Young University
Mark Bradtke,1997,1997,C-F,6-10,265,September 27 1968,
Marques Bragg,1996,1996,F,6-8,230,March 24 1970,Providence College
Torraye Braggs,2004,2005,F,6-8,245,May 15 1976,Xavier University
A.J. Bramlett,2000,2000,C,6-10,227,January 10 1977,University of Arizona
Adrian Branch,1987,1990,F-G,6-7,185,November 17 1963,University of Maryland
Elton Brand,2000,2015,F,6-8,275,March 11 1979,Duke University
Terrell Brandon,1992,2002,G,5-11,180,May 20 1970,University of Oregon
Bob Brannum,1950,1955,F-C,6-5,215,May 28 1925,Michigan State University
Brad Branson,1982,1983,C-F,6-10,220,September 24 1958,Southern Methodist University
Jesse Branson,1966,1968,F,6-7,195,January 7 1942,Elon University
Jim Brasco,1953,1953,G,6-1,170,February 3 1931,New York University
Mike Bratz,1978,1986,G,6-2,185,October 17 1955,Stanford University
Carl Braun,1948,1962,G-F,6-5,180,September 25 1927,Colgate University
Tim Breaux,1995,1998,F,6-7,215,September 19 1970,University of Wyoming
J.R. Bremer,2003,2004,G,6-2,185,September 19 1980,St. Bonaventure University
Pete Brennan,1959,1959,F,6-6,205,September 23 1936,University of North Carolina
Tom Brennan,1955,1955,F,6-3,195,August 6 1930,Villanova University
Randy Breuer,1984,1994,C,7-3,230,October 11 1960,University of Minnesota
Corey Brewer,2008,2016,F-G,6-9,186,March 5 1986,University of Florida
Jamison Brewer,2002,2005,G,6-4,184,November 19 1980,Auburn University
Jim Brewer,1974,1982,F-C,6-9,210,December 3 1951,University of Minnesota
Ron Brewer,1979,1986,G,6-4,180,September 16 1955,University of Arkansas
Ronnie Brewer,2007,2014,G-F,6-7,220,March 20 1985,University of Arkansas
Primoz Brezec,2002,2010,C,7-2,252,October 2 1979,
Frankie Brian,1950,1956,G,6-1,180,May 1 1923,Louisiana State University
Frank Brickowski,1985,1997,F-C,6-9,240,August 14 1959,Pennsylvania State University
Junior Bridgeman,1976,1987,F-G,6-5,210,September 17 1953,University of Louisville
Bill Bridges,1963,1975,F-C,6-6,228,April 4 1939,University of Kansas
Al Brightman,1947,1947,F,6-2,195,September 22 1923,University of Charleston
Aud Brindley,1947,1947,F,6-4,175,December 31 1923,Dartmouth College
John Brisker,1970,1975,F-G,6-5,210,June 15 1947,University of Toledo
Allan Bristow,1974,1983,F-G,6-7,210,August 23 1951,Virginia Polytechnic Institute and State University
Tyrone Britt,1968,1968,G,6-4,190,April 18 1944,Johnson C. Smith University
Wayman Britt,1978,1978,G,6-2,185,August 31 1952,University of Michigan
Mike Brittain,1986,1987,C,7-0,235,June 21 1963,University of South Carolina
Dave Britton,1981,1981,G,6-4,180,August 29 1958,Texas A&M University
Jon Brockman,2010,2012,F,6-7,255,March 20 1987,University of Washington
Jim Brogan,1982,1983,G,6-4,185,February 24 1958,West Virginia Wesleyan College
Gary Brokaw,1975,1978,G,6-4,178,January 11 1954,University of Notre Dame
Price Brookfield,1949,1950,F-G,6-4,185,May 11 1920,West Texas A&M University
Clarence Brookins,1971,1971,F,6-4,190,,Temple University
Aaron Brooks,2008,2016,G,6-0,161,January 14 1985,University of Oregon
Kevin Brooks,1992,1994,F,6-6,200,October 12 1969,University of Louisiana at Lafayette
MarShon Brooks,2012,2014,G-F,6-5,200,January 26 1989,Providence College
Michael Brooks,1981,1988,F,6-7,220,August 17 1958,La Salle University
Scott Brooks,1989,1998,G,5-11,165,July 31 1965,University of California Irvine
Andre Brown,2007,2009,F,6-9,245,May 12 1981,DePaul University
Anthony Brown,2016,2016,F,6-7,210,October 10 1992,Stanford University
Bob Brown,1949,1950,F,6-4,205,November 12 1923,Miami University
Bobby Brown,2009,2010,G,6-2,175,September 24 1984,California State University Fullerton
Chucky Brown,1990,2002,F,6-7,214,February 29 1968,North Carolina State University
Damone Brown,2002,2005,F,6-9,200,June 28 1979,Syracuse University
Darrell Brown,1949,1949,F,6-2,175,March 14 1923,Humboldt State University
Dee Brown,1991,2002,G,6-1,160,November 29 1968,Jacksonville University
Dee Brown,2007,2009,G,6-0,185,August 17 1984,University of Illinois at Urbana-Champaign
Derrick Brown,2010,2012,F,6-7,225,September 8 1987,Xavier University
Devin Brown,2003,2010,G,6-5,220,December 30 1978,University of Texas at San Antonio
Ernest Brown,2002,2002,C,7-0,244,May 17 1979,Indian Hills Community College
Fred Brown,1972,1984,G,6-3,182,August 7 1948,University of Iowa
George Brown,1958,1958,F,6-6,190,October 30 1935,Wayne State University
Gerald Brown,1999,1999,G,6-4,210,July 28 1975,Pepperdine University
Harold Brown,1947,1947,G,6-0,155,October 2 1923,University of Evansville
Jabari Brown,2015,2015,G,6-4,215,December 18 1992,University of Missouri
John Brown,1974,1980,F,6-7,220,December 14 1951,University of Missouri
Kedrick Brown,2002,2005,G,6-7,222,March 18 1981,Okaloosa-Walton Community College
Kwame Brown,2002,2013,F,6-11,270,March 10 1982,
Larry Brown*,1968,1972,G,5-9,160,September 14 1940,University of North Carolina
Leon Brown,1947,1947,F,6-3,190,October 12 1919,University of Wyoming
Lewis Brown,1981,1981,C,6-11,225,February 19 1955,University of Nevada Las Vegas
Lorenzo Brown,2014,2015,G,6-5,189,August 26 1990,North Carolina State University
Marcus Brown,1997,2000,G,6-3,185,April 3 1974,Murray State University
Markel Brown,2015,2016,G,6-3,190,January 29 1992,Oklahoma State University
Mike Brown,1987,1997,C-F,6-9,257,July 19 1963,George Washington University
Myron Brown,1992,1992,G,6-3,180,November 3 1969,Slippery Rock University of Pennsylvania
P.J. Brown,1994,2008,F-C,6-11,225,October 14 1969,Louisiana Tech University
Randy Brown,1992,2003,G,6-2,190,May 22 1968,New Mexico State University
Raymond Brown,1990,1990,F,6-8,220,July 5 1965,University of Idaho
Rickey Brown,1981,1985,C-F,6-10,215,August 20 1958,Mississippi State University
Roger Brown*,1968,1975,F-G,6-5,205,May 22 1942,University of Dayton
Roger Brown,1973,1980,C,6-11,225,February 23 1950,University of Kansas
Shannon Brown,2007,2015,G,6-4,205,November 29 1985,Michigan State University
Stan Brown,1948,1952,F,6-3,200,June 27 1929,
Tierre Brown,2002,2005,G,6-2,189,June 3 1979,McNeese State University
Tony Brown,1985,1992,F-G,6-6,185,July 29 1960,University of Arkansas
Jim Browne,1949,1950,C,6-10,235,January 1 1930,
Stanley Brundy,1990,1990,F,6-6,210,November 13 1967,DePaul University
Brian Brunkhorst,1969,1969,F,6-6,208,June 12 1945,Marquette University
George Bruns,1973,1973,G,6-0,160,August 30 1946,Manhattan College
Rick Brunson,1998,2006,G,6-4,190,June 14 1972,Temple University
Em Bryant,1965,1972,G,6-1,175,November 4 1938,DePaul University
Joe Bryant,1976,1983,F-C,6-9,185,October 19 1954,La Salle University
Kobe Bryant,1997,2016,G-F,6-6,212,August 23 1978,
Mark Bryant,1989,2003,F-C,6-9,245,April 25 1965,Seton Hall University
Wallace Bryant,1984,1986,C,7-0,245,July 14 1959,University of San Francisco
Torgeir Bryn,1990,1990,C,6-9,250,August 8 1964,Texas State University
George Bucci,1976,1976,G,6-3,200,July 9 1953,Manhattan College
Joe Buckhalter,1962,1963,F,6-7,210,August 1 1937,Tennessee State University
Steve Bucknall,1990,1990,G,6-6,215,March 17 1966,University of North Carolina
Cleveland Buckner,1962,1963,F-C,6-9,210,August 17 1938,Jackson State University
Greg Buckner,2000,2009,G,6-4,210,September 16 1976,Clemson University
Quinn Buckner,1977,1986,G,6-3,190,August 20 1954,Indiana University
Dave Budd,1961,1965,F,6-6,205,October 28 1938,Wake Forest University
Chase Budinger,2010,2016,F,6-7,209,May 22 1988,University of Arizona
Walt Budko,1949,1952,F-C,6-5,220,July 30 1925,Columbia University
Jud Buechler,1991,2002,F-G,6-6,220,June 19 1968,University of Arizona
Rodney Buford,2000,2005,G-F,6-5,189,November 2 1977,Creighton University
Matt Bullard,1991,2002,F,6-10,215,June 5 1967,University of Iowa
Reggie Bullock,2014,2016,G-F,6-7,205,March 16 1991,University of North Carolina
Larry Bunce,1968,1969,C,7-0,240,July 29 1945,Utah State University
Greg Bunch,1979,1979,F,6-6,190,May 15 1956,California State University Fullerton
Dick Bunt,1953,1953,G,6-0,170,July 13 1930,New York University
Bill Buntin,1966,1966,C-F,6-7,250,May 5 1942,University of Michigan
Bill Bunting,1970,1972,F-C,6-8,200,August 26 1947,University of North Carolina
Ticky Burden,1976,1978,G,6-2,185,February 28 1953,University of Utah
Pat Burke,2003,2007,C-F,6-11,250,December 14 1973,Auburn University
Trey Burke,2014,2016,G,6-1,191,November 12 1992,University of Michigan
