<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Ed Johnson,1969,1971,C,6-8,205,June 17 1944,Tennessee State University
Eddie Johnson,1978,1987,G,6-2,180,February 24 1955,Auburn University
Eddie Johnson,1982,1999,F-G,6-7,215,May 1 1959,University of Illinois at Urbana-Champaign
Eric Johnson,1990,1990,G,6-2,205,February 7 1966,University of Nebraska
Ervin Johnson,1994,2006,C,6-11,245,December 21 1967,University of New Orleans
Frank Johnson,1982,1994,G,6-1,185,November 23 1958,Wake Forest University
George Johnson,1971,1974,C,6-11,245,June 19 1947,Stephen F. Austin State University
George Johnson,1973,1986,C-F,6-11,205,December 18 1948,Dillard University
George Johnson,1979,1986,F-C,6-7,210,December 8 1956,St. John's University
Gus Johnson*,1964,1973,F-C,6-6,230,December 13 1938,University of Idaho
Harold Johnson,1947,1947,C,6-6,240,January 30 1920,Indiana State University
Ivan Johnson,2012,2013,F,6-8,230,April 10 1984,University of Oregon
JaJuan Johnson,2012,2012,F-C,6-10,221,February 8 1989,Purdue University
James Johnson,2010,2016,F,6-9,250,February 20 1987,Wake Forest University
Joe Johnson,2002,2016,G-F,6-7,240,June 29 1981,University of Arkansas
John Johnson,1971,1982,F,6-7,200,October 18 1947,University of Iowa
Kannard Johnson,1988,1988,F,6-9,220,June 24 1965,Western Kentucky University
Ken Johnson,1986,1986,F,6-8,240,November 7 1962,Michigan State University
Ken Johnson,2003,2003,F-C,6-11,240,February 1 1978,Ohio State University
Kevin Johnson,1988,2000,G,6-1,180,March 4 1966,University of California
Larry Johnson,1978,1978,G,6-3,205,November 28 1954,University of Kentucky
Larry Johnson,1992,2001,F,6-6,250,March 14 1969,University of Nevada Las Vegas
Lee Johnson,1981,1981,F,6-11,205,June 16 1957,East Texas State University
Linton Johnson,2004,2009,F,6-8,205,June 13 1980,Tulane University
Magic Johnson*,1980,1996,G-F,6-9,215,August 14 1959,Michigan State University
Marques Johnson,1978,1990,F-G,6-7,218,February 8 1956,University of California Los Angeles
Mickey Johnson,1975,1986,F,6-10,190,August 31 1952,Aurora University
Neil Johnson,1967,1973,F-C,6-7,220,April 17 1943,Creighton University
Nick Johnson,2015,2015,G,6-3,202,December 22 1992,University of Arizona
Ollie Johnson,1973,1982,F,6-6,200,May 11 1949,Temple University
Orlando Johnson,2013,2014,G,6-5,220,March 11 1989,University of California Santa Barbara
Ralph Johnson,1950,1953,G,5-11,170,December 6 1921,Huntington University
Reggie Johnson,1981,1984,F-C,6-9,205,June 25 1957,University of Tennessee
Rich Johnson,1969,1971,C,6-7,210,December 18 1946,Grambling State University
Ron Johnson,1961,1961,F,6-8,215,July 20 1938,University of Minnesota
Stanley Johnson,2016,2016,F,6-7,245,May 29 1996,University of Arizona
Steffond Johnson,1987,1987,F,6-8,240,November 4 1962,San Diego State University
Steve Johnson,1982,1991,C-F,6-10,235,November 3 1957,Oregon State University
Stew Johnson,1968,1976,F-C,6-8,220,August 19 1944,Murray State University
Trey Johnson,2009,2012,G,6-5,218,August 30 1984,Jackson State University
Tyler Johnson,2015,2016,G,6-4,186,May 7 1992,California State University Fresno
Vinnie Johnson,1980,1992,G,6-2,200,September 1 1956,Baylor University
Wesley Johnson,2011,2016,F-G,6-7,215,July 11 1987,Syracuse University
Darius Johnson-Odom,2013,2014,G,6-2,215,September 28 1989,Marquette University
Nate Johnston,1990,1990,F,6-8,210,December 18 1966,University of Tampa
Neil Johnston*,1952,1959,C,6-8,210,February 4 1929,Ohio State University
Jim Johnstone,1983,1983,C-F,6-11,245,September 20 1960,Wake Forest University
Nikola Jokic,2016,2016,C,6-10,250,February 19 1995,
Howie Jolliff,1961,1963,F-C,6-7,218,July 20 1938,Ohio University
Alvin Jones,2002,2002,F,6-11,265,September 9 1978,Georgia Institute of Technology
Anthony Jones,1987,1990,G-F,6-6,195,September 13 1962,University of Nevada Las Vegas
Askia Jones,1995,1995,G,6-5,200,December 3 1971,Kansas State University
Bill Jones,1989,1989,F,6-7,175,March 18 1966,University of Iowa
Bobby Jones,1975,1986,F,6-9,210,December 18 1951,University of North Carolina
Bobby Jones,2007,2008,F,6-7,215,January 9 1984,University of Washington
Caldwell Jones,1974,1990,C-F,6-11,217,August 4 1950,Albany State University
Charles Jones,1984,1998,F-C,6-9,215,April 3 1957,Albany State University
Charles Jones,1985,1989,F,6-8,215,January 12 1962,University of Louisville
Charles Jones,1999,2000,G,6-3,180,July 17 1975,Long Island University
Collis Jones,1972,1975,F,6-7,203,July 3 1949,University of Notre Dame
Dahntay Jones,2004,2015,G-F,6-6,225,December 27 1980,Duke University
Damon Jones,1999,2009,G,6-3,185,August 25 1976,University of Houston
DeQuan Jones,2013,2013,F,6-8,221,June 20 1990,University of Miami
Dominique Jones,2011,2013,G,6-4,215,October 15 1988,University of South Florida
Dontae' Jones,1998,1998,F,6-8,220,June 2 1975,Mississippi State University
Dwayne Jones,2006,2010,F-C,6-11,250,June 9 1983,Saint Joseph's University
Dwight Jones,1974,1983,F-C,6-10,210,February 27 1952,University of Houston
Earl Jones,1985,1986,C,7-0,210,January 13 1961,University of the District of Columbia
Eddie Jones,1995,2008,G-F,6-6,190,October 20 1971,Temple University
Edgar Jones,1981,1986,F-C,6-10,225,June 17 1956,University of Nevada Reno
Fred Jones,2003,2009,G-F,6-4,210,March 11 1979,University of Oregon
Hutch Jones,1983,1984,F,6-8,190,September 1 1959,Vanderbilt University
Jake Jones,1972,1972,G,6-3,180,May 9 1949,Assumption College
James Jones,2004,2016,F-G,6-8,218,October 4 1980,University of Miami
Jimmy Jones,1968,1977,G,6-4,188,January 1 1945,Grambling State University
Johnny Jones,1968,1969,F,6-7,205,March 12 1943,California State University Los Angeles
Jumaine Jones,2000,2007,F,6-8,218,February 10 1979,University of Georgia
K.C. Jones*,1959,1967,G,6-1,200,May 25 1932,University of San Francisco
Kevin Jones,2013,2013,F,6-8,251,August 25 1989,West Virginia University
Larry Jones,1965,1974,G-F,6-2,180,September 22 1942,University of Toledo
Major Jones,1980,1985,F,6-9,225,July 9 1953,Albany State University
Mark Jones,1984,1984,G,6-1,175,April 10 1961,St. Bonaventure University
Mark Jones,2005,2005,G,6-6,215,May 25 1975,University of Central Florida
Nick Jones,1968,1973,G,6-2,190,March 28 1945,University of Oregon
Ozell Jones,1985,1986,C-F,6-11,235,November 20 1960,California State University Fullerton
Perry Jones,2013,2015,F,6-11,235,September 24 1991,Baylor University
Popeye Jones,1994,2004,F,6-8,250,June 17 1970,Murray State University
Rich Jones,1970,1977,F-C,6-6,220,December 27 1946,University of Memphis
Robin Jones,1977,1978,F-C,6-9,225,February 2 1954,Saint Louis University
Sam Jones*,1958,1969,G-F,6-4,198,June 24 1933,North Carolina Central University
Shelton Jones,1989,1989,F,6-9,210,April 6 1966,St. John's University
Solomon Jones,2007,2014,F,6-10,230,July 16 1984,University of South Florida
Steve Jones,1968,1976,G-F,6-5,205,October 17 1942,University of Oregon
Terrence Jones,2013,2016,F,6-9,252,January 9 1992,University of Kentucky
Tyus Jones,2016,2016,G,6-2,195,May 10 1996,Duke University
Wah Wah Jones,1950,1952,F,6-4,225,July 14 1926,University of Kentucky
Wali Jones,1965,1976,G,6-2,180,February 14 1942,Villanova University
Wil Jones,1970,1978,F,6-8,205,February 27 1947,Albany State University
Willie Jones,1961,1965,G,6-3,185,June 29 1936,Northwestern University
Adonis Jordan,1994,1999,G,5-11,170,August 21 1970,University of Kansas
Charles Jordan,1976,1976,F,6-8,220,January 31 1954,Canisius College
DeAndre Jordan,2009,2016,C,6-11,265,July 21 1988,Texas A&amp;M University
Eddie Jordan,1978,1984,G,6-1,170,January 29 1955,Rutgers University
Jerome Jordan,2012,2015,C,7-0,253,September 29 1986,University of Tulsa
Michael Jordan*,1985,2003,G-F,6-6,195,February 17 1963,University of North Carolina
Reggie Jordan,1994,2000,G,6-4,195,January 26 1968,New Mexico State University
Thomas Jordan,1993,1993,F-C,6-10,220,May 23 1968,Oklahoma State University
Walter Jordan,1981,1981,F,6-7,198,February 19 1956,Purdue University
Phil Jordon,1957,1963,C-F,6-10,205,September 12 1933,Whitworth
Johnny Jorgensen,1948,1949,G-F,6-2,185,December 28 1921,DePaul University
Noble Jorgensen,1947,1953,C,6-9,228,May 18 1925,University of Iowa
Roger Jorgensen,1947,1947,C-F,6-5,200,September 2 1920,Ohio State University
Cory Joseph,2012,2016,G,6-3,190,August 20 1991,University of Texas at Austin
Garth Joseph,2001,2001,C,7-2,315,August 8 1973,College of Saint Rose
Kris Joseph,2013,2013,F,6-7,210,December 17 1988,Syracuse University
Yvon Joseph,1986,1986,C,6-11,245,October 31 1957,Georgia Institute of Technology
Kevin Joyce,1974,1976,G,6-3,190,June 27 1951,University of South Carolina
Butch Joyner,1969,1969,F,6-5,200,April 26 1945,Indiana University
Jeff Judkins,1979,1983,G-F,6-6,185,March 23 1956,University of Utah
