<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Richard Washington,1977,1982,F-C,6-11,220,July 15 1955,University of California Los Angeles
Stan Washington,1975,1975,G,6-4,190,January 23 1952,University of San Diego
Trooper Washington,1968,1973,F-C,6-7,215,April 21 1944,Cheyney University of Pennsylvania
Wilson Washington,1978,1979,F-C,6-9,227,August 3 1955,Old Dominion University
Darryl Watkins,2008,2012,C,6-11,258,November 8 1984,Syracuse University
Bobby Watson,1955,1955,G,6-0,160,March 22 1930,University of Kentucky
C.J. Watson,2008,2016,G,6-2,175,April 17 1984,University of Tennessee
Earl Watson,2002,2014,G,6-1,195,June 12 1979,University of California Los Angeles
Jamie Watson,1995,1999,F,6-7,190,February 23 1972,University of South Carolina
Ron Watts,1966,1967,F,6-6,210,May 21 1943,Wake Forest University
Samuel Watts,1971,1971,G,6-3,185,March 14 1948,Florida Agricultural and Mechanical University
Slick Watts,1974,1979,G,6-1,175,July 22 1951,Xavier University of Louisiana
Maalik Wayns,2013,2014,G,6-2,200,May 2 1991,Villanova University
David Wear,2015,2015,F,6-10,230,September 21 1990,University of California Los Angeles
Travis Wear,2015,2015,F,6-10,230,September 21 1990,University of California Los Angeles
Clarence Weatherspoon,1993,2005,F,6-6,240,September 8 1970,University of Southern Mississippi
Nick Weatherspoon,1974,1980,F,6-7,195,July 20 1950,University of Illinois at Urbana-Champaign
Kyle Weaver,2009,2011,G,6-6,201,February 18 1986,Washington State University
Jeff Webb,1971,1972,G,6-4,170,July 6 1948,Kansas State University
Marcus Webb,1993,1993,F-C,6-9,255,May 9 1970,University of Alabama
Spud Webb,1986,1998,G,5-6,133,July 13 1963,North Carolina State University
Chris Webber,1994,2008,F-C,6-9,245,March 1 1973,University of Michigan
Jake Weber,1947,1947,C,6-6,225,March 18 1918,Purdue University
Elnardo Webster,1972,1972,F,6-5,190,March 6 1948,Saint Peter's College
Jeff Webster,1996,1996,F,6-8,232,February 19 1971,University of Oklahoma
Martell Webster,2006,2015,G-F,6-7,230,December 4 1986,
Marvin Webster,1976,1987,C,7-1,225,April 13 1952,Morgan State University
Scott Wedman,1975,1987,F-G,6-7,215,July 29 1952,University of Colorado
Sonny Weems,2009,2016,G-F,6-6,205,July 8 1986,University of Arkansas
Dick Wehr,1949,1949,F,6-4,180,December 9 1925,Rice University
Brant Weidner,1984,1984,F,6-9,230,October 28 1960,College of William &amp; Mary
Bob Weiss,1966,1977,G,6-2,180,May 7 1942,Pennsylvania State University
Rick Weitzman,1968,1968,G,6-2,175,April 30 1946,Northeastern University
Bonzi Wells,1999,2008,G-F,6-5,210,September 28 1976,Ball State University
Bubba Wells,1998,1998,F,6-5,230,July 26 1974,Austin Peay State University
Owen Wells,1975,1975,F,6-7,200,December 9 1950,University of Detroit Mercy
Ralph Wells,1963,1963,G,6-1,180,September 3 1940,Northwestern University
Chris Welp,1988,1990,C,7-0,245,January 2 1964,University of Washington
Jiri Welsch,2003,2006,G,6-7,208,January 27 1980,
Bill Wennington,1986,2000,C,7-0,245,April 26 1963,St. John's University
Matt Wenstrom,1994,1994,C,7-1,250,November 4 1970,University of North Carolina
Robert Werdann,1993,1997,C,6-11,250,September 12 1970,St. John's University
Ray Wertis,1947,1948,G,5-11,,January 1 1922,St. John's University
David Wesley,1994,2007,G,6-0,190,November 14 1970,Baylor University
Walt Wesley,1967,1976,C,6-11,220,January 25 1945,University of Kansas
David West,2004,2016,F,6-9,250,August 29 1980,Xavier University
Delonte West,2005,2012,G,6-4,180,July 26 1983,Saint Joseph's University
Doug West,1990,2001,G-F,6-6,200,May 27 1967,Villanova University
Jerry West*,1961,1974,G,6-2,175,May 28 1938,West Virginia University
Mario West,2008,2011,G,6-5,210,June 19 1984,Georgia Institute of Technology
Mark West,1984,2000,C-F,6-10,230,November 5 1960,Old Dominion University
Roland West,1968,1968,G,6-4,178,June 6 1944,University of Cincinnati
Dexter Westbrook,1968,1968,F,6-8,190,,Providence College
Russell Westbrook,2009,2016,G,6-3,200,November 12 1988,University of California Los Angeles
Paul Westphal,1973,1984,G,6-4,195,November 30 1950,University of Southern California
John Wetzel,1968,1976,G-F,6-5,190,October 22 1944,Virginia Polytechnic Institute and State University
Robert Whaley,2006,2006,C,6-10,260,April 16 1982,Walsh University
Ennis Whatley,1984,1997,G,6-3,177,August 11 1962,University of Alabama
DeJuan Wheat,1998,1999,G,6-0,165,October 14 1973,University of Louisville
Clinton Wheeler,1988,1989,G,6-1,185,October 27 1959,William Paterson University
Tyson Wheeler,1999,1999,G,5-10,165,October 8 1975,University of Rhode Island
Skippy Whitaker,1955,1955,G,6-1,180,August 29 1930,University of Kentucky
D.J. White,2009,2014,F,6-9,251,August 31 1986,Indiana University
Eric White,1988,1989,F,6-8,200,December 30 1965,Pepperdine University
Herb White,1971,1971,G,6-2,195,June 15 1948,University of Georgia
Hubie White,1963,1971,G-F,6-4,205,January 26 1940,Villanova University
Jahidi White,1999,2005,F-C,6-9,290,February 19 1976,Georgetown University
James White,2007,2013,G-F,6-7,200,October 21 1982,University of Cincinnati
Jo Jo White*,1970,1981,G,6-3,190,November 16 1946,University of Kansas
Randy White,1990,1994,F,6-8,240,November 4 1967,Louisiana Tech University
Rodney White,2002,2005,F,6-9,238,June 28 1980,University of North Carolina at Charlotte
Rory White,1983,1987,F,6-8,210,August 16 1959,University of South Alabama
Royce White,2014,2014,F,6-8,270,April 10 1991,Iowa State University
Rudy White,1976,1981,G,6-2,195,June 23 1953,Arizona State University
Tony White,1988,1988,G,6-2,170,February 15 1965,University of Tennessee
Willie White,1985,1986,G,6-3,195,August 20 1962,University of Tennessee at Chattanooga
Jerome Whitehead,1979,1989,C-F,6-10,220,September 30 1956,Marquette University
Donald Whiteside,1997,1998,G,5-10,160,April 25 1969,Northern Illinois University
Hassan Whiteside,2011,2016,C,7-0,265,June 13 1989,Marshall University
Dwayne Whitfield,1996,1996,F,6-9,240,August 21 1972,Jackson State University
Chris Whitney,1994,2004,G,6-0,168,October 5 1971,Clemson University
Hank Whitney,1968,1970,F-C,6-7,230,April 28 1939,Iowa State University
Hawkeye Whitney,1981,1982,G-F,6-5,235,June 22 1957,North Carolina State University
Shayne Whittington,2015,2016,F-C,6-11,250,March 27 1991,Western Michigan University
Sidney Wicks,1972,1981,F-C,6-8,225,September 19 1949,University of California Los Angeles
Ron Widby,1968,1968,F,6-4,210,March 9 1945,University of Tennessee
Murray Wier,1950,1950,G,5-9,155,December 12 1926,University of Iowa
Bob Wiesenhahn,1962,1962,F,6-4,215,December 22 1938,University of Cincinnati
Andrew Wiggins,2015,2016,F-G,6-8,199,February 23 1995,University of Kansas
Mitchell Wiggins,1984,1992,G,6-4,185,September 28 1959,Florida State University
Ken Wilburn,1968,1969,F,6-6,195,June 8 1944,Central State University
C.J. Wilcox,2015,2016,G,6-5,195,December 30 1990,University of Washington
Chris Wilcox,2003,2013,F,6-10,221,September 3 1982,University of Maryland
D.C. Wilcutt,1949,1950,G,6-2,165,March 25 1923,Saint Louis University
Gene Wiley,1963,1968,C,6-10,210,November 12 1937,Wichita State University
Michael Wiley,1981,1982,F,6-9,200,October 16 1957,California State University Long Beach
Morlon Wiley,1989,1995,G,6-4,185,September 24 1966,California State University Long Beach
Win Wilfong,1958,1961,G-F,6-2,185,March 18 1933,University of Memphis
Lenny Wilkens*,1961,1975,G,6-1,180,October 28 1937,Providence College
Bob Wilkerson,1977,1983,G-F,6-6,195,August 15 1954,Indiana University
Jamaal Wilkes*,1975,1986,F-G,6-6,190,May 2 1953,University of California Los Angeles
James Wilkes,1981,1983,F,6-7,195,April 1 1958,University of California Los Angeles
Damien Wilkins,2005,2013,F-G,6-6,225,January 11 1980,University of Georgia
Dominique Wilkins*,1983,1999,F-G,6-7,200,January 12 1960,University of Georgia
Eddie Lee Wilkins,1985,1993,F-C,6-10,220,May 7 1962,Gardner-Webb University
Gerald Wilkins,1986,1999,G-F,6-6,185,September 11 1963,University of Tennessee at Chattanooga
Jeff Wilkins,1981,1986,C-F,6-11,230,March 9 1955,Illinois State University
Dale Wilkinson,1985,1985,F,6-10,220,March 18 1960,Idaho State University
Mike Wilks,2003,2010,G,5-10,185,May 7 1979,Rice University
Aaron Williams,1994,2008,F-C,6-9,220,October 2 1971,Xavier University
Al Williams,1971,1971,F,6-6,200,February 3 1948,Drake University
Alvin Williams,1998,2007,G,6-5,185,August 6 1974,Villanova University
Art Williams,1968,1975,G,6-1,180,September 29 1939,California State Polytechnic University Pomona
Bernie Williams,1970,1974,G,6-3,175,December 30 1945,La Salle University
Bob Williams,1956,1957,F,6-6,230,May 12 1931,Florida Agricultural and Mechanical University
Brandon Williams,1998,2003,G,6-6,215,February 27 1975,Davidson College
Buck Williams,1982,1998,F-C,6-8,215,March 8 1960,University of Maryland
Charles Williams,1968,1973,G,6-0,165,September 5 1943,Seattle University
Chuck Williams,1971,1978,G,6-2,175,June 6 1946,University of Colorado
Chuckie Williams,1977,1977,G,6-3,180,December 31 1953,Kansas State University
Cliff Williams,1969,1969,G,6-3,180,April 15 1945,Bowling Green State University
Corey Williams,1993,1994,G,6-2,190,April 24 1970,Oklahoma State University
Deron Williams,2006,2016,G,6-3,200,June 26 1984,University of Illinois at Urbana-Champaign
Derrick Williams,2012,2016,F,6-8,240,May 25 1991,University of Arizona
Duck Williams,1980,1980,G,6-2,180,August 2 1956,University of Notre Dame
Earl Williams,1975,1979,C-F,6-7,230,March 24 1951,Winston-Salem State University
Elliot Williams,2012,2015,G,6-5,190,June 20 1989,University of Memphis
Eric Williams,1996,2007,F,6-8,220,July 17 1972,Providence College
Fly Williams,1975,1975,G-F,6-5,200,February 18 1953,Austin Peay State University
Frank Williams,2003,2005,G,6-3,212,February 25 1980,University of Illinois at Urbana-Champaign
Freeman Williams,1979,1986,G-F,6-4,190,May 15 1956,Portland State University
Gene Williams,1970,1970,F,6-7,235,April 1 1947,Kansas State University
Gus Williams,1976,1987,G,6-2,175,October 10 1953,University of Southern California
Guy Williams,1985,1986,F,6-9,200,July 1 1960,Washington State University
Hank Williams,1975,1975,F,6-5,210,April 28 1952,Jacksonville University
Herb Williams,1982,1999,C-F,6-10,242,February 16 1958,Ohio State University
Hot Rod Williams,1987,1999,F-C,6-11,215,August 9 1962,Tulane University
Jason Williams,1999,2011,G,6-1,190,November 18 1975,University of Florida
Jawad Williams,2009,2011,F,6-9,218,February 19 1983,University of North Carolina
Jay Williams,2003,2003,G,6-2,195,September 10 1981,Duke University
Jayson Williams,1991,1999,F-C,6-9,240,February 22 1968,St. John's University
Jerome Williams,1997,2005,F,6-9,206,May 10 1973,Georgetown University
John Williams,1987,1995,F-C,6-8,235,October 26 1966,Louisiana State University
Jordan Williams,2012,2012,F,6-10,260,October 11 1990,University of Maryland
Justin Williams,2007,2008,F,6-10,225,May 12 1984,University of Wyoming
Kenny Williams,1991,1994,F,6-9,205,June 9 1969,Elizabeth City State University
Kevin Williams,1984,1989,G,6-2,175,September 11 1961,St. John's University
Lorenzo Williams,1993,2000,F-C,6-9,200,July 15 1969,Stetson University
Lou Williams,2006,2016,G,6-1,175,October 27 1986,
Marcus Williams,2007,2010,G,6-3,205,December 3 1985,University of Connecticut
Marcus Williams,2008,2009,F,6-7,205,November 18 1986,University of Arizona
Marvin Williams,2006,2016,F,6-9,237,June 19 1986,University of North Carolina
Micheal Williams,1989,1999,G,6-2,175,July 23 1966,Baylor University
Mike Williams,1990,1990,F,6-8,255,August 14 1963,Bradley University
Milt Williams,1971,1975,G,6-2,182,November 22 1945,Lincoln University of Missouri
Mo Williams,2004,2016,G,6-1,198,December 19 1982,University of Alabama
Monty Williams,1995,2003,F,6-8,225,October 8 1971,University of Notre Dame
Nate Williams,1972,1979,F-G,6-5,215,May 2 1950,Utah State University
Pete Williams,1986,1987,F,6-7,190,March 10 1965,University of Arizona
Ray Williams,1978,1987,G,6-3,188,October 14 1954,University of Minnesota
Reggie Williams,1988,1997,F-G,6-7,190,March 5 1964,Georgetown University
Reggie Williams,2010,2015,F,6-6,205,September 14 1986,Virginia Military Institute
Rickey Williams,1983,1983,G,6-1,175,March 12 1957,California State University Long Beach
Rob Williams,1983,1984,G,6-2,175,May 5 1961,University of Houston
Ron Williams,1969,1976,G,6-3,188,September 24 1944,West Virginia University
Sam Williams,1969,1970,G,6-3,180,January 22 1945,University of Iowa
Sam Williams,1982,1985,F,6-8,210,March 7 1959,Arizona State University
Scott Williams,1991,2005,F-C,6-10,230,March 21 1968,University of North Carolina
Sean Williams,2008,2012,F,6-10,235,September 13 1986,Boston College
Shammond Williams,1999,2007,G,6-1,201,April 5 1975,University of North Carolina
Shawne Williams,2007,2015,F,6-9,225,February 16 1986,University of Memphis
Shelden Williams,2007,2012,F,6-9,250,October 21 1983,Duke University
Sly Williams,1980,1986,F-G,6-7,210,January 26 1958,University of Rhode Island
Terrence Williams,2010,2013,F,6-6,220,June 28 1987,University of Louisville
Travis Williams,1998,1999,F,6-6,215,May 27 1969,South Carolina State University
Walt Williams,1993,2003,F-G,6-8,219,April 16 1970,University of Maryland
Ward Williams,1949,1949,F,6-4,195,June 26 1923,Indiana University
Willie Williams,1971,1971,F,6-7,200,July 28 1946,Florida State University
Corliss Williamson,1996,2007,F,6-7,245,December 4 1973,University of Arkansas
John Williamson,1974,1981,G,6-2,185,November 10 1951,New Mexico State University
Vann Williford,1971,1971,F,6-6,195,January 26 1948,North Carolina State University
Kevin Willis,1985,2007,F-C,7-0,220,September 6 1962,Michigan State University
Bill Willoughby,1976,1984,F-C,6-8,205,May 20 1957,
Dedric Willoughby,2000,2000,G-F,6-3,180,May 27 1974,Iowa State University
Bob Wilson,1952,1952,G,6-4,185,March 8 1926,West Virginia State University
Bobby Wilson,1968,1968,F,6-8,215,,University of Kansas
Bobby Wilson,1975,1978,G,6-3,175,January 15 1951,Wichita State University
Bubba Wilson,1980,1980,G,6-3,175,August 7 1955,Western Carolina University
George Wilson,1965,1971,C,6-8,225,May 9 1942,University of Cincinnati
Isaiah Wilson,1972,1973,G,6-2,175,May 31 1948,University of Baltimore
Jasper Wilson,1969,1970,F,6-6,200,July 12 1947,Southern University and A&amp;M College
Jim Wilson,1971,1971,G,5-10,175,,Cheyney University of Pennsylvania
Michael Wilson,1984,1987,G,6-4,175,September 15 1959,Marquette University
Nikita Wilson,1988,1988,F,6-8,200,February 25 1964,Louisiana State University
Othell Wilson,1985,1987,G,6-0,190,October 26 1961,University of Virginia
Rick Wilson,1979,1980,G,6-5,200,February 7 1956,University of Louisville
Ricky Wilson,1988,1988,G,6-3,195,July 16 1964,George Mason University
Stephen Wilson,1971,1972,G,6-5,185,October 16 1948,Hanover College
Trevor Wilson,1991,1996,F,6-7,210,March 16 1968,University of California Los Angeles
Kennard Winchester,1991,1993,G-F,6-5,210,September 3 1966,Averett University
Tony Windis,1960,1960,G,6-1,160,January 27 1933,University of Wyoming
John Windsor,1964,1964,F,6-8,215,April 3 1940,Stanford University
Lee Winfield,1970,1976,G,6-2,174,February 4 1947,University of North Texas
David Wingate,1987,2001,G-F,6-5,185,December 15 1963,Georgetown University
Dontonio Wingfield,1995,1998,F,6-8,256,June 23 1974,University of Cincinnati
Harthorne Wingo,1973,1976,F,6-6,210,September 9 1947,Friendship Junior College
Marv Winkler,1971,1972,G,6-1,164,February 18 1948,University of Louisiana at Lafayette
Justise Winslow,2016,2016,F,6-7,225,March 26 1996,Duke University
Rickie Winslow,1988,1988,F,6-8,225,July 26 1964,University of Houston
Trevor Winter,1999,1999,C,7-0,275,January 7 1974,University of Minnesota
Brian Winters,1975,1983,G-F,6-4,185,March 1 1952,University of South Carolina
Voise Winters,1986,1986,F,6-8,200,October 12 1962,Bradley University
Skip Wise,1976,1976,G,6-2,170,July 25 1955,Clemson University
Willie Wise,1970,1978,F,6-5,210,March 3 1947,Drake University
Jeff Withey,2014,2016,C,7-0,231,March 7 1990,University of Kansas
Luke Witte,1974,1976,C,7-0,235,October 19 1950,Ohio State University
Greg Wittman,1970,1971,F,6-8,210,May 10 1947,Western Carolina University
Randy Wittman,1984,1992,G-F,6-6,210,October 28 1959,Indiana University
Garry Witts,1982,1982,G-F,6-7,190,July 3 1959,College of the Holy Cross
Dave Wohl,1972,1978,G,6-2,185,November 2 1949,University of Pennsylvania
Joe Wolf,1988,1999,F-C,6-11,230,December 17 1964,University of North Carolina
Ruben Wolkowyski,2001,2003,F,6-10,270,September 30 1973,
Nate Wolters,2014,2015,G,6-4,190,May 15 1991,South Dakota State University
Al Wood,1982,1987,G-F,6-6,193,June 2 1958,University of North Carolina
Bob Wood,1950,1950,G,5-10,,October 7 1921,Northern Illinois University
Christian Wood,2016,2016,F,6-11,220,September 27 1995,University of Nevada Las Vegas
David Wood,1989,1997,F,6-9,227,November 30 1964,University of Nevada Reno
Howard Wood,1982,1982,F,6-7,235,May 20 1959,University of Tennessee
Leon Wood,1985,1991,G,6-3,185,March 25 1962,California State University Fullerton
Loren Woods,2002,2008,F-C,7-1,245,June 21 1978,University of Arizona
Qyntel Woods,2003,2006,F,6-8,221,February 16 1981,Northeast Mississippi Community College
Randy Woods,1993,1996,G,5-10,185,September 23 1970,La Salle University
Tommy Woods,1968,1968,F,6-7,210,June 10 1943,East Tennessee State University
Mike Woodson,1981,1991,G-F,6-5,195,March 24 1958,Indiana University
Bob Woollard,1970,1970,C,6-10,225,July 27 1940,Wake Forest University
Orlando Woolridge,1982,1994,F,6-9,215,December 16 1959,University of Notre Dame
Haywoode Workman,1990,2000,G,6-2,180,January 23 1966,Oral Roberts University
Mark Workman,1953,1954,F-C,6-9,215,March 10 1930,West Virginia University
Tom Workman,1968,1971,F-C,6-7,218,November 14 1944,Seattle University
Metta World Peace,2000,2016,F,6-6,260,November 13 1979,St. John's University
Willie Worsley,1969,1969,G,5-9,175,November 13 1945,University of Texas at El Paso
Sam Worthen,1981,1982,G,6-5,195,January 17 1958,Marquette University
James Worthy*,1983,1994,F,6-9,225,February 27 1961,University of North Carolina
Antoine Wright,2006,2011,G-F,6-7,210,February 6 1984,Texas A&amp;M University
Bracey Wright,2006,2007,G,6-3,210,July 1 1984,Indiana University
Brad Wright,1987,1988,F,6-11,225,March 26 1962,University of California Los Angeles
Brandan Wright,2008,2016,F,6-10,210,October 5 1987,University of North Carolina
Chris Wright,2012,2014,F,6-8,226,September 30 1988,University of Dayton
Chris Wright,2013,2013,G,6-1,210,November 4 1989,Georgetown University
Delon Wright,2016,2016,G,6-5,190,April 26 1992,University of Utah
Dorell Wright,2005,2015,G-F,6-7,200,December 2 1985,
Howard Wright,1991,1993,F,6-8,220,December 20 1967,Stanford University
Howie Wright,1971,1972,G,6-3,185,February 22 1947,Austin Peay State University
Joby Wright,1973,1976,F-C,6-8,220,September 5 1950,Indiana University
Julian Wright,2008,2011,F,6-8,225,May 20 1987,University of Kansas
Larry Wright,1977,1982,G,6-1,160,November 23 1954,Grambling State University
Leroy Wright,1968,1969,F,6-9,215,May 6 1938,University of the Pacific
Lonnie Wright,1968,1972,G,6-2,205,January 23 1944,Colorado State University
Lorenzen Wright,1997,2009,F-C,6-11,225,November 4 1975,University of Memphis
Luther Wright,1994,1994,C,7-2,270,September 22 1971,Seton Hall University
Sharone Wright,1995,1998,F-C,6-11,260,January 30 1973,Clemson University
Tony Wroten,2013,2015,G,6-6,205,April 13 1993,University of Washington
Dennis Wuycik,1973,1975,F,6-6,215,March 29 1950,University of North Carolina
A.J. Wynder,1991,1991,G,6-2,180,September 11 1964,Fairfield University
