<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Oleksiy Pecherov,2008,2010,C,7-0,232,December 8 1985,
Wiley Peck,1980,1980,G,6-7,220,September 15 1957,Mississippi State University
Rich Peek,1968,1968,C,6-11,230,October 28 1943,Louisiana Tech University
Anthony Peeler,1993,2005,G,6-4,208,November 25 1969,University of Missouri
George Peeples,1968,1973,C-F,6-7,190,October 30 1943,University of Iowa
Nikola Pekovic,2011,2015,C,6-11,307,January 3 1986,
Jake Pelkington,1949,1949,C-F,6-6,220,January 3 1916,Manhattan College
Sam Pellom,1980,1983,F-C,6-9,225,October 2 1951,University at Buffalo State University of New York
Mike Penberthy,2001,2002,G,6-3,185,November 29 1974,Master's College
Jerry Pender,1974,1974,G,6-2,185,February 12 1950,California State University Fresno
Desmond Penigar,2004,2004,F,6-7,245,July 16 1981,Utah State University
Kirk Penney,2004,2005,G,6-5,220,November 23 1980,University of Wisconsin
Mike Peplowski,1994,1996,C,6-10,270,October 15 1970,Michigan State University
Will Perdue,1989,2001,C,7-0,240,August 29 1965,Vanderbilt University
Kendrick Perkins,2004,2016,C,6-10,270,November 10 1984,
Sam Perkins,1985,2001,F-C,6-9,235,June 14 1961,University of North Carolina
Warren Perkins,1950,1951,G-F,6-3,190,February 2 1924,Tulane University
Kosta Perovic,2008,2008,C,7-2,240,February 19 1985,
Aulcie Perry,1975,1975,C,6-10,210,July 3 1950,Bethune-Cookman College
Curtis Perry,1971,1978,F,6-7,220,September 13 1948,Missouri State University
Elliot Perry,1992,2002,G,6-0,150,March 28 1969,University of Memphis
Ron Perry,1968,1970,G,6-3,190,December 29 1943,Virginia Polytechnic Institute and State University
Tim Perry,1989,1996,F-C,6-9,200,June 4 1965,Temple University
Chuck Person,1987,2000,F,6-8,220,June 27 1964,Auburn University
Wesley Person,1995,2005,G,6-6,195,March 28 1971,Auburn University
Jim Petersen,1985,1992,F-C,6-10,235,February 22 1962,University of Minnesota
Loy Petersen,1969,1970,G,6-5,205,July 26 1945,Oregon State University
Bob Peterson,1954,1956,F,6-5,210,January 25 1932,University of Oregon
Ed Peterson,1950,1951,C,6-9,220,June 27 1924,Cornell University
Mel Peterson,1964,1970,G-F,6-4,185,March 23 1938,Wheaton College
Morris Peterson,2001,2011,F,6-7,218,August 26 1977,Michigan State University
Geoff Petrie,1971,1976,G,6-4,190,April 17 1948,Princeton University
Johan Petro,2006,2013,C,7-0,247,January 27 1986,
Drazen Petrovic*,1990,1993,G,6-5,195,October 22 1964,
Richard Petruska,1994,1994,C-F,6-10,260,January 25 1969,University of California Los Angeles
Bob Pettit*,1955,1965,F-C,6-9,205,December 12 1932,Louisiana State University
Jerry Pettway,1968,1969,G-F,6-3,185,February 13 1944,Northwood Institute
Roger Phegley,1979,1984,G-F,6-6,205,October 16 1956,Bradley University
Jack Phelan,1950,1950,F,6-5,195,November 6 1925,DePaul University
James Phelan,1954,1954,G,6-1,175,March 19 1929,La Salle University
Derrick Phelps,1995,1995,G,6-4,181,July 31 1972,University of North Carolina
Michael Phelps,1986,1988,G,6-4,180,October 3 1961,Alcorn State University
Andy Phillip*,1948,1958,G-F,6-2,195,March 7 1922,University of Illinois at Urbana-Champaign
Eddie Phillips,1983,1983,F,6-7,225,September 29 1961,University of Alabama
Gary Phillips,1962,1966,G,6-3,189,December 7 1939,University of Houston
Gene Phillips,1972,1973,G,6-4,175,October 25 1948,Southern Methodist University
Bobby Phills,1992,2000,G,6-5,210,December 20 1969,Southern University and A&amp;M College
Eric Piatkowski,1995,2008,G-F,6-7,215,September 30 1970,University of Nebraska
Walter Piatkowski,1969,1972,F,6-8,220,June 11 1945,Bowling Green State University
Paul Pierce,1999,2016,F-G,6-7,235,October 13 1977,University of Kansas
Ricky Pierce,1983,1998,G,6-4,205,August 19 1959,Rice University
Stan Pietkiewicz,1979,1981,G-F,6-5,200,July 14 1956,Auburn University
Mickael Pietrus,2004,2013,G-F,6-6,215,February 7 1982,
John Pilch,1952,1952,F,6-3,185,July 11 1925,University of Wyoming
Ed Pinckney,1986,1997,F,6-9,195,March 27 1963,Villanova University
Kevinn Pinkney,2007,2007,F,6-10,245,October 20 1983,University of Nevada Reno
John Pinone,1984,1984,F,6-8,230,February 19 1961,Villanova University
Dave Piontek,1957,1963,F-C,6-6,230,August 27 1934,Xavier University
Tom Piotrowski,1984,1984,C,7-1,240,October 17 1960,La Salle University
Scottie Pippen*,1988,2004,F-G,6-8,210,September 25 1965,University of Central Arkansas
Charles Pittman,1983,1986,F,6-8,220,March 23 1958,University of Maryland
Dexter Pittman,2011,2014,C,6-11,308,March 2 1988,University of Texas at Austin
Zoran Planinic,2004,2006,G,6-7,195,September 12 1982,
Tibor Pleiss,2016,2016,C,7-3,256,November 2 1989,
Mason Plumlee,2014,2016,F,6-11,245,March 5 1990,Duke University
Miles Plumlee,2013,2016,C-F,6-11,249,September 1 1988,Duke University
Gary Plummer,1985,1993,F-C,6-9,215,February 21 1962,Boston University
Pavel Podkolzin,2005,2006,C,7-5,260,January 15 1985,
Dwayne Polee,1987,1987,G,6-5,180,March 2 1963,Pepperdine University
Jim Pollard*,1949,1955,F-C,6-4,185,July 9 1922,Stanford University
Scot Pollard,1998,2008,C,6-11,265,February 12 1975,University of Kansas
Ralph Polson,1953,1953,F-C,6-7,200,October 26 1929,Whitworth
Olden Polynice,1988,2004,C-F,6-11,220,November 21 1964,University of Virginia
Cliff Pondexter,1976,1978,F-C,6-9,233,September 15 1954,California State University Long Beach
Quincy Pondexter,2011,2015,G-F,6-7,220,March 10 1988,University of Washington
David Pope,1985,1986,F,6-7,220,April 15 1962,Norfolk State University
Mark Pope,1998,2005,F,6-10,235,September 11 1972,University of Kentucky
Dave Popson,1989,1992,F-C,6-10,220,May 17 1964,University of North Carolina
Ben Poquette,1978,1987,F-C,6-9,235,May 7 1955,Central Michigan University
Chris Porter,2001,2001,F,6-7,218,May 9 1978,Auburn University
Howard Porter,1972,1978,F-C,6-8,220,August 31 1948,Villanova University
Kevin Porter,1973,1983,G,6-0,170,April 17 1950,Saint Francis University
Otto Porter,2014,2016,F,6-8,198,June 3 1993,Georgetown University
Terry Porter,1986,2002,G,6-3,195,April 8 1963,University of Wisconsin-Stevens Point
Willie Porter,1968,1969,F,6-7,205,July 3 1942,Tennessee State University
Bobby Portis,2016,2016,F,6-11,230,February 10 1995,University of Arkansas
Bob Portman,1970,1973,F,6-5,200,March 22 1947,Creighton University
Kristaps Porzingis,2016,2016,F-C,7-3,240,August 2 1995,
James Posey,2000,2011,F-G,6-8,215,January 13 1977,Xavier University
Lavor Postell,2001,2003,G,6-5,215,February 26 1978,St. John's University
John Postley,1968,1968,F,6-5,220,May 30 1940,Bethune-Cookman College
Vitaly Potapenko,1997,2007,C,6-10,280,March 21 1975,Wright State University
Leon Powe,2007,2011,F,6-8,240,January 22 1984,University of California
Cincinnatus Powell,1968,1975,F-C,6-7,220,February 25 1942,University of Portland
Dwight Powell,2015,2016,F,6-11,240,July 20 1991,Stanford University
Josh Powell,2006,2014,F,6-9,225,January 25 1983,North Carolina State University
Kasib Powell,2008,2008,F,6-7,215,March 18 1981,Texas Tech University
Norman Powell,2016,2016,G,6-4,215,May 25 1993,University of California Los Angeles
Roger Powell,2007,2007,F,6-6,235,January 15 1983,University of Illinois at Urbana-Champaign
Marlbert Pradd,1968,1969,G,6-3,170,November 17 1944,Dillard University
Mike Pratt,1971,1972,G-F,6-4,195,August 4 1948,University of Kentucky
Paul Pressey,1983,1993,G-F,6-5,185,December 24 1958,University of Tulsa
Phil Pressey,2014,2016,G,5-11,175,February 17 1991,University of Missouri
Dominic Pressley,1989,1989,G,6-2,170,May 30 1964,Boston College
Harold Pressley,1987,1990,F-G,6-7,210,July 14 1963,Villanova University
Stephen Previs,1973,1973,G,6-3,183,February 9 1950,University of North Carolina
A.J. Price,2010,2015,G,6-2,181,October 7 1986,University of Connecticut
Brent Price,1993,2002,G,6-1,165,December 9 1968,University of Oklahoma
Jim Price,1973,1979,G,6-3,195,November 27 1949,University of Louisville
Mark Price,1987,1998,G,6-0,170,February 15 1964,Georgia Institute of Technology
Mike Price,1971,1973,G,6-3,200,September 11 1948,University of Illinois at Urbana-Champaign
Ronnie Price,2006,2016,G,6-2,190,June 21 1983,Utah Valley State College
Tony Price,1981,1981,G,6-6,190,January 5 1957,University of Pennsylvania
Bob Priddy,1953,1953,F,6-3,190,March 24 1930,New Mexico State University
Pablo Prigioni,2013,2016,G,6-3,185,May 17 1977,
Tayshaun Prince,2003,2016,F,6-9,212,February 28 1980,University of Kentucky
John Pritchard,1950,1950,C,6-9,220,January 23 1927,Drake University
Kevin Pritchard,1991,1996,G,6-3,180,July 17 1967,University of Kansas
Laron Profit,2000,2006,G-F,6-5,204,August 5 1977,University of Maryland
Gabe Pruitt,2008,2009,G,6-4,170,April 19 1986,University of Southern California
Joel Przybilla,2001,2013,C,7-1,255,October 10 1979,University of Minnesota
Les Pugh,1949,1950,C-F,6-7,190,September 18 1923,Ohio State University
Roy Pugh,1949,1949,C-F,6-6,210,October 16 1922,Southern Methodist University
Anthony Pullard,1993,1993,F,6-10,245,June 23 1966,McNeese State University
Don Putman,1947,1950,G,6-1,170,November 13 1922,University of Denver
