<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Larry Kenon,1974,1983,F,6-9,205,December 13 1952,University of Memphis
Billy Kenville,1954,1960,G-F,6-2,187,December 1 1930,St. Bonaventure University
Jonathan Kerner,1999,1999,C,6-11,245,June 6 1974,East Carolina University
Red Kerr,1955,1966,C-F,6-9,230,July 17 1932,University of Illinois at Urbana-Champaign
Steve Kerr,1989,2003,G,6-3,175,September 27 1965,University of Arizona
Jack Kerris,1950,1953,F-C,6-6,215,January 30 1925,Loyola University of Chicago
Jerome Kersey,1985,2001,F,6-7,215,June 26 1962,Longwood University
Tom Kerwin,1968,1968,F,6-7,210,July 7 1944,Centenary College of Louisiana
Alec Kessler,1991,1994,F-C,6-11,230,January 13 1967,University of Georgia
Lari Ketner,2000,2001,F-C,6-9,277,February 1 1977,University of Massachusetts Amherst
Julius Keye,1970,1975,F-C,6-10,200,September 5 1946,Alcorn State University
Randolph Keys,1989,1996,F-G,6-7,195,April 19 1966,University of Southern Mississippi
Viktor Khryapa,2005,2008,F,6-9,210,August 3 1982,
Jason Kidd,1995,2013,G,6-4,205,March 23 1973,University of California
Warren Kidd,1994,1994,F,6-9,235,September 9 1970,Middle Tennessee State University
Michael Kidd-Gilchrist,2013,2015,F,6-7,232,September 26 1993,University of Kentucky
Irv Kiffin,1980,1980,F,6-9,225,August 8 1951,Oklahoma Baptist University
Jack Kiley,1952,1953,G,6-1,170,January 5 1929,Syracuse University
Earnie Killum,1971,1971,G,6-3,180,June 11 1948,Stetson University
Carl Kilpatrick,1980,1980,C,6-10,230,May 16 1956,University of Louisiana at Monroe
Sean Kilpatrick,2015,2015,G,6-4,210,January 6 1990,University of Cincinnati
Toby Kimball,1967,1975,F-C,6-6,220,September 7 1942,University of Connecticut
Bo Kimble,1991,1993,G,6-4,190,April 9 1966,Loyola Marymount University
Stan Kimbrough,1990,1993,G,5-11,153,April 24 1966,Xavier University
Chad Kinch,1981,1981,G,6-4,190,May 22 1958,University of North Carolina at Charlotte
Albert King,1982,1992,F-G,6-6,190,December 17 1959,University of Maryland
Bernard King*,1978,1993,F,6-7,205,December 4 1956,University of Tennessee
Chris King,1994,1999,F,6-8,215,July 24 1969,Wake Forest University
Dan King,1955,1955,F,6-6,220,January 7 1931,Western Kentucky University
Frankie King,1996,1997,G,6-1,185,June 6 1972,Western Carolina University
George King,1952,1958,G,6-0,175,August 16 1928,University of Charleston
Gerard King,1999,2001,F,6-9,230,November 25 1972,Nicholls State University
Jim King,1964,1973,G,6-2,175,February 7 1941,University of Tulsa
Jimmy King,1996,1997,G,6-5,210,August 9 1973,University of Michigan
Loyd King,1972,1973,G,6-2,180,May 29 1949,Virginia Polytechnic Institute and State University
Maury King,1960,1963,G,6-2,195,March 12 1935,University of Kansas
Reggie King,1980,1985,F,6-6,225,February 14 1957,University of Alabama
Rich King,1992,1995,C,7-2,260,April 4 1969,University of Nebraska
Ron King,1974,1974,G,6-4,185,July 11 1951,Florida State University
Stacey King,1990,1997,F-C,6-11,230,January 29 1967,University of Oklahoma
Tom King,1947,1947,G,6-0,165,March 9 1924,University of Michigan
Bob Kinney,1949,1950,C-F,6-6,215,September 16 1920,Rice University
Tarence Kinsey,2007,2009,G,6-6,185,March 21 1984,University of South Carolina
Andrei Kirilenko,2002,2015,F,6-9,220,February 18 1981,
Alex Kirk,2015,2015,C,7-0,245,November 14 1991,University of New Mexico
Walt Kirk,1949,1952,G-F,6-3,173,September 3 1924,University of Illinois at Urbana-Champaign
Wilber Kirkland,1970,1970,F,6-7,190,,Cheyney University of Pennsylvania
Jim Kissane,1969,1969,F,6-7,210,August 17 1946,Boston College
Doug Kistler,1962,1962,F,6-9,210,March 21 1938,Duke University
Curtis Kitchen,1987,1987,F,6-9,235,January 30 1964,University of South Florida
Greg Kite,1984,1995,C,6-11,250,August 5 1961,Brigham Young University
Kerry Kittles,1997,2005,G,6-5,179,June 12 1974,Villanova University
Joe Kleine,1986,2000,C,6-11,255,January 4 1962,University of Arkansas
Linas Kleiza,2006,2013,F,6-8,245,January 3 1985,University of Missouri
Leo Klier,1949,1950,F-G,6-2,170,May 21 1923,University of Notre Dame
Herm Klotz,1948,1948,G,5-7,150,October 21 1921,Villanova University
Duane Klueh,1950,1951,G,6-3,175,January 6 1926,Indiana State University
Lonnie Kluttz,1971,1971,F,6-7,220,September 17 1945,North Carolina Agricultural and Technical State University
Billy Knight,1975,1985,G-F,6-6,195,June 9 1952,University of Pittsburgh
Bob Knight,1955,1955,G-F,6-2,185,April 30 1929,
Brandin Knight,2005,2005,G,6-0,180,December 16 1981,University of Pittsburgh
Brandon Knight,2012,2016,G,6-3,189,December 2 1991,University of Kentucky
Brevin Knight,1998,2009,G,5-10,173,November 8 1975,Stanford University
Negele Knight,1991,1999,G,6-1,175,March 6 1967,University of Dayton
Ron Knight,1971,1972,F,6-7,215,August 4 1947,California State University Los Angeles
Toby Knight,1978,1982,F,6-9,210,May 3 1955,University of Notre Dame
Travis Knight,1997,2003,C,7-0,235,September 13 1974,University of Connecticut
Lee Knorek,1947,1950,C,6-7,215,July 15 1921,University of Detroit Mercy
Dick Knostman,1954,1954,C,6-6,215,August 9 1931,Kansas State University
Rod Knowles,1969,1969,F-C,6-9,215,February 27 1946,Davidson College
Bart Kofoed,1988,1993,G,6-4,210,March 24 1964,University of Nebraska at Kearney
Don Kojis,1964,1975,F,6-5,215,January 15 1939,Marquette University
Milo Komenich,1950,1950,F-C,6-7,212,June 22 1920,University of Wyoming
Howard Komives,1965,1974,G,6-1,185,May 9 1941,Bowling Green State University
Jon Koncak,1986,1996,C-F,7-0,250,May 17 1963,Southern Methodist University
Tom Kondla,1969,1969,C,6-8,225,November 30 1946,University of Minnesota
Bud Koper,1965,1965,G,6-6,210,August 9 1942,Oklahoma City University
Joe Kopicki,1983,1985,F,6-9,240,June 12 1960,University of Detroit Mercy
Frank Kornet,1990,1991,F,6-9,225,January 27 1967,Vanderbilt University
Yaroslav Korolev,2006,2007,F,6-9,203,May 7 1987,
Kyle Korver,2004,2016,G-F,6-7,212,March 17 1981,Creighton University
Tony Koski,1969,1969,F,6-8,215,June 26 1946,Providence College
Len Kosmalski,1975,1976,C,7-0,245,November 29 1951,University of Tennessee
Andy Kostecka,1949,1949,F,6-3,203,February 10 1921,Georgetown University
Harold Kottman,1947,1947,C,6-8,220,August 22 1922,Culver-Stockton College
Kosta Koufos,2009,2016,C,7-0,265,February 24 1989,Ohio State University
Tom Kozelko,1974,1976,F,6-8,220,July 1 1951,University of Toledo
Ronald Kozlicki,1968,1968,F,6-7,215,December 12 1944,Northwestern University
Arvid Kramer,1980,1980,C,6-9,220,October 2 1956,Augustana College (SD)
Barry Kramer,1965,1970,F-G,6-4,200,November 10 1942,New York University
Joel Kramer,1979,1983,F-C,6-7,203,November 30 1955,San Diego State University
Steven Kramer,1968,1970,G-F,6-5,200,January 1 1945,Brigham Young University
Dan Kraus,1949,1949,G,6-0,195,February 13 1923,Georgetown University
Herb Krautblatt,1949,1949,G,6-1,190,November 19 1926,Rider University
Viacheslav Kravtsov,2013,2014,C,7-0,260,August 25 1987,
Jim Krebs,1958,1964,C-F,6-8,230,September 8 1935,Southern Methodist University
Wayne Kreklow,1981,1981,G,6-4,175,January 4 1957,Drake University
Tommy Kron,1967,1970,G,6-5,200,February 28 1943,University of Kentucky
Tom Kropp,1976,1977,G,6-3,205,February 12 1953,University of Nebraska at Kearney
Nenad Krstic,2005,2011,C,7-0,240,July 25 1983,
Larry Krystkowiak,1987,1997,F-C,6-9,220,September 23 1964,University of Montana
Steve Kuberski,1970,1978,F-C,6-8,215,November 6 1947,Bradley University
Leo Kubiak,1950,1950,G,5-11,160,December 25 1927,Bowling Green State University
Bruce Kuczenski,1984,1984,F,6-10,230,February 3 1961,University of Connecticut
Frank Kudelka,1950,1953,G-F,6-2,193,June 25 1925,Saint Mary's College of California
John Kuester,1978,1980,G,6-2,180,February 6 1955,University of North Carolina
Ray Kuka,1948,1949,F,6-3,200,February 17 1922,University of Notre Dame
Toni Kukoc,1994,2006,F,6-10,192,September 18 1968,
Kevin Kunnert,1974,1982,C-F,7-0,230,November 11 1951,University of Iowa
Terry Kunze,1968,1968,G-F,6-4,210,March 11 1943,University of Minnesota
Mitch Kupchak,1977,1986,F-C,6-9,230,May 24 1954,University of North Carolina
C.J. Kupec,1976,1978,F-C,6-6,220,January 16 1953,University of Michigan
Rob Kurz,2009,2009,F,6-9,232,March 5 1985,University of Notre Dame
Ibo Kutluay,2005,2005,G,6-6,200,July 1 1974,
Ognjen Kuzmic,2014,2015,C,7-1,251,May 16 1990,
