<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Ralph Davis,1961,1962,G,6-4,180,September 7 1938,University of Cincinnati
Red Davis,1956,1956,C,6-7,220,April 22 1932,St. John's University
Ricky Davis,1999,2010,G,6-6,195,September 23 1979,University of Iowa
Ron Davis,1977,1982,G-F,6-6,198,May 1 1954,Washington State University
Terry Davis,1990,2001,F-C,6-9,225,June 17 1967,Virginia Union University
Walt Davis,1954,1958,C-F,6-8,205,January 5 1931,Texas A&amp;M University
Walter Davis,1978,1992,G-F,6-6,193,September 9 1954,University of North Carolina
Warren Davis,1968,1973,F-C,6-6,212,June 30 1943,North Carolina Agricultural and Technical State University
Willie Davis,1971,1971,C,6-8,234,August 9 1945,University of North Texas
Andre Dawkins,2015,2015,G,6-5,215,September 19 1991,Duke University
Darryl Dawkins,1976,1989,C,6-11,251,January 11 1957,
Johnny Dawkins,1987,1995,G,6-2,165,September 28 1963,Duke University
Paul Dawkins,1980,1980,F,6-5,190,June 10 1957,Northern Illinois University
Eric Dawson,2012,2012,F,6-9,250,July 7 1984,Midwestern State University
Jimmy Dawson,1968,1968,G,6-0,175,April 18 1945,University of Illinois at Urbana-Champaign
Tony Dawson,1991,1995,F,6-7,215,August 25 1967,Florida State University
Todd Day,1993,2001,G-F,6-6,188,January 7 1970,University of Arkansas
Austin Daye,2010,2015,F,6-11,220,June 5 1988,Gonzaga University
Darren Daye,1984,1988,F-G,6-8,220,November 30 1960,University of California Los Angeles
Nando De Colo,2013,2014,G,6-5,200,June 23 1987,
Greg Deane,1980,1980,G,6-4,190,December 6 1957,University of Utah
Billy DeAngelis,1971,1971,G,6-1,180,October 5 1946,Saint Joseph's University
Dave DeBusschere*,1963,1974,F-G,6-6,220,October 16 1940,University of Detroit Mercy
Andrew DeClercq,1996,2005,F-C,6-10,230,February 1 1973,University of Florida
Dewayne Dedmon,2014,2016,C,7-0,245,August 12 1989,University of Southern California
Donald Dee,1969,1969,F,6-8,210,August 9 1943,Saint Mary of the Plains College
Archie Dees,1959,1962,F-C,6-8,205,February 22 1936,Indiana University
Terry Dehere,1994,1999,G,6-2,190,September 12 1971,Seton Hall University
Red Dehnert,1947,1947,F,6-3,175,,Columbia University
Sam Dekker,2016,2016,F,6-9,230,May 6 1994,University of Wisconsin
Vinny Del Negro,1989,2002,G,6-4,185,August 9 1966,North Carolina State University
Bison Dele,1992,1999,F-C,6-9,235,April 6 1969,University of Arizona
Carlos Delfino,2005,2013,G,6-6,230,August 29 1982,
Tony Delk,1997,2006,G,6-1,189,January 28 1974,University of Kentucky
Matthew Dellavedova,2014,2016,G,6-4,198,September 8 1990,Saint Mary's College of California
Nate DeLong,1952,1952,C,6-6,220,January 5 1926,University of Wisconsin-River Falls
Fennis Dembo,1989,1989,F,6-5,215,January 24 1966,University of Wyoming
Larry Demic,1980,1982,F-C,6-9,225,June 27 1957,University of Arizona
Dell Demps,1994,1997,G,6-3,205,February 12 1970,University of the Pacific
George Dempsey,1955,1959,G,6-2,190,July 19 1929,King's College
Luol Deng,2005,2016,F,6-9,220,April 16 1985,Duke University
Kenny Dennard,1982,1984,F,6-8,220,October 18 1958,Duke University
Blaine Denning,1953,1953,G,6-2,175,September 19 1930,Lawrence Technological University
Justin Dentmon,2012,2013,G,5-11,185,September 5 1985,University of Washington
Randy Denton,1972,1977,C,6-10,240,February 18 1949,Duke University
Joe DePre,1971,1973,G,6-3,185,December 19 1947,St. John's University
Rod Derline,1975,1976,G,6-0,175,March 11 1952,Seattle University
DeMar DeRozan,2010,2016,G,6-7,220,August 7 1989,University of Southern California
Dave Deutsch,1967,1967,G,6-1,170,May 13 1945,University of Rochester
Corky Devlin,1956,1958,G,6-5,195,December 21 1931,George Washington University
Hank DeZonie,1951,1951,C-F,6-6,215,February 12 1922,Clark Atlanta University
Derrick Dial,2000,2004,G,6-4,184,December 20 1975,Eastern Michigan University
Boris Diaw,2004,2016,F-C,6-8,250,April 16 1982,
Yakhouba Diawara,2007,2010,G-F,6-7,225,August 29 1982,Pepperdine University
Guillermo Diaz,2008,2008,G,6-2,192,March 4 1985,University of Miami
Dan Dickau,2003,2008,G,6-0,190,September 16 1978,Gonzaga University
Kaniel Dickens,2004,2008,F,6-8,215,July 21 1978,University of Idaho
Henry Dickerson,1976,1977,G,6-4,190,November 27 1951,University of Charleston
Michael Dickerson,1999,2003,G-F,6-5,190,June 25 1975,University of Arizona
Clyde Dickey,1975,1975,G,6-3,185,December 14 1951,Boise State University
Derrek Dickey,1974,1978,F,6-7,218,March 20 1951,University of Cincinnati
Dick Dickey,1952,1952,G,6-1,175,October 26 1926,North Carolina State University
John Dickson,1968,1968,C,6-10,240,November 18 1945,Arkansas State University
Travis Diener,2006,2010,G,6-1,175,March 1 1982,Marquette University
Gorgui Dieng,2014,2016,C,6-11,241,January 18 1990,University of Louisville
Connie Dierking,1959,1971,C-F,6-9,222,October 2 1936,University of Cincinnati
Coby Dietrick,1971,1983,C-F,6-10,220,July 23 1948,San Jose State University
Ernie DiGregorio,1974,1978,G,6-0,180,January 15 1951,Providence College
Craig Dill,1968,1968,C,6-11,215,December 17 1944,University of Michigan
Dwaine Dillard,1976,1976,F,6-6,230,March 9 1949,Eastern Michigan University
Mickey Dillard,1982,1982,G,6-3,170,October 15 1958,Florida State University
Bob Dille,1947,1947,F,6-3,190,July 2 1917,Valparaiso University
Hook Dillon,1950,1950,F,6-3,180,January 8 1924,University of North Carolina
Byron Dinkins,1990,1991,G,6-1,170,June 15 1967,University of North Carolina at Charlotte
Jackie Dinkins,1972,1972,F,6-5,210,January 22 1950,Voorhees College
Harry Dinnel,1968,1968,F-G,6-4,200,,Pepperdine University
Bill Dinwiddie,1968,1972,F,6-7,220,July 15 1943,New Mexico Highlands University
Spencer Dinwiddie,2015,2016,G,6-6,200,April 6 1993,University of Colorado
Ike Diogu,2006,2012,F,6-8,250,September 11 1983,Arizona State University
DeSagana Diop,2002,2013,C,7-0,300,January 30 1982,
Terry Dischinger,1963,1973,F-G,6-7,189,November 21 1940,Purdue University
Fred Diute,1955,1955,G,6-3,210,January 9 1929,St. Bonaventure University
Vlade Divac,1990,2005,C,7-1,243,February 3 1968,
Juan Dixon,2003,2009,G,6-3,164,October 9 1978,University of Maryland
Aleksandar Djordjevic,1997,1997,G,6-2,198,August 26 1967,
Earl Dodd,1950,1950,F,6-5,175,November 1 1924,Truman State University
Michael Doleac,1999,2008,C,6-11,262,June 15 1977,University of Utah
Joe Dolhon,1950,1951,G,6-0,175,July 9 1927,New York University
Bob Doll,1947,1950,F-C,6-5,195,August 10 1919,University of Colorado
James Donaldson,1981,1995,C,7-2,275,August 16 1957,Washington State University
Bob Donham,1951,1954,G-F,6-2,190,October 11 1926,Ohio State University
Billy Donovan,1988,1988,G,5-11,171,May 30 1965,Providence College
Harry Donovan,1950,1950,G,6-2,180,September 10 1926,Muhlenberg College
Keyon Dooling,2001,2013,G,6-3,196,May 8 1980,University of Missouri
Jacky Dorsey,1978,1981,F,6-7,230,December 18 1954,University of Georgia
Joey Dorsey,2009,2015,F,6-8,268,December 16 1983,University of Memphis
Ron Dorsey,1972,1972,F,6-4,200,October 10 1948,Tennessee State University
Quincy Douby,2007,2009,G,6-3,175,May 16 1984,Rutgers University
Bruce Douglas,1987,1987,G,6-3,195,April 9 1964,University of Illinois at Urbana-Champaign
John Douglas,1982,1983,G,6-2,170,June 12 1956,University of Kansas
Leon Douglas,1977,1983,C-F,6-10,230,August 26 1954,University of Alabama
Sherman Douglas,1990,2001,G,6-0,180,September 15 1966,Syracuse University
Toney Douglas,2010,2016,G,6-2,195,March 16 1986,Florida State University
Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8 1987,University of Memphis
Sonny Dove,1968,1972,F,6-7,198,August 16 1945,St. John's University
Jerry Dover,1972,1972,G,5-7,155,October 16 1949,LeMoyne-Owen College
Zabian Dowdell,2011,2011,G,6-3,191,September 10 1984,Virginia Polytechnic Institute and State University
Bill Downey,1948,1948,C,6-6,210,November 11 1923,Marquette University
Steve Downing,1974,1975,C,6-8,225,September 9 1950,Indiana University
Danny Doyle,1963,1963,F,6-8,200,February 6 1940,Belmont Abbey College
Terry Dozier,1990,1990,F,6-9,210,June 29 1966,University of South Carolina
Goran Dragic,2009,2016,G,6-3,190,May 6 1986,
Zoran Dragic,2015,2015,G-F,6-5,200,June 22 1989,
Greg Dreiling,1987,1997,C,7-1,250,November 7 1962,University of Kansas
Bryce Drew,1999,2004,G,6-2,185,September 21 1974,Valparaiso University
John Drew,1975,1985,F-G,6-6,205,September 30 1954,Gardner-Webb University
Larry Drew,1981,1991,G,6-1,170,April 2 1958,University of Missouri
Larry Drew,2015,2015,G,6-2,180,March 5 1990,University of California Los Angeles
Clyde Drexler*,1984,1998,G,6-7,210,June 22 1962,University of Houston
Nate Driggers,1997,1997,G,6-5,215,October 12 1973,University of Montevallo
Terry Driscoll,1971,1975,F,6-7,215,August 28 1947,Boston College
Predrag Drobnjak,2002,2005,C,6-11,270,October 27 1975,
Ralph Drollinger,1981,1981,C,7-2,250,April 20 1954,University of California Los Angeles
Andre Drummond,2013,2016,C,6-11,279,August 10 1993,University of Connecticut
Dick Duckett,1958,1958,G,6-1,185,March 25 1933,St. John's University
Kevin Duckworth,1987,1997,C,7-0,275,April 1 1964,Eastern Illinois University
Charles Dudley,1973,1979,G,6-2,180,March 5 1950,University of Washington
Chris Dudley,1988,2003,C,6-11,235,February 22 1965,Yale University
Jared Dudley,2008,2016,F-G,6-7,225,July 10 1985,Boston College
Terry Duerod,1980,1983,G,6-2,180,July 29 1956,University of Detroit Mercy
Bob Duffy,1947,1947,F,6-4,175,July 5 1922,Tulane University
Bob Duffy,1963,1965,G,6-3,185,September 26 1940,Colgate University
Chris Duhon,2005,2013,G,6-1,185,August 31 1982,Duke University
Walter Dukes,1956,1963,C,7-0,220,June 23 1930,Seton Hall University
Joe Dumars*,1986,1999,G,6-3,190,May 24 1963,McNeese State University
Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University
Richard Dumas,1993,1996,F,6-7,200,May 19 1969,Oklahoma State University
Tony Dumas,1995,1998,G,6-6,190,August 25 1972,University of Missouri-Kansas City
Andy Duncan,1949,1951,F-C,6-6,195,April 17 1922,College of William &amp; Mary
Tim Duncan,1998,2016,F-C,6-11,250,April 25 1976,Wake Forest University
Mike Dunleavy,1977,1990,G,6-3,180,March 21 1954,University of South Carolina
Mike Dunleavy,2003,2015,F-G,6-9,230,September 15 1980,Duke University
Pat Dunn,1958,1958,G,6-2,170,March 17 1931,Utah State University
T.R. Dunn,1978,1991,G-F,6-4,192,February 1 1955,University of Alabama
Ronald Dupree,2004,2011,F,6-7,209,January 26 1981,Louisiana State University
Kevin Durant,2008,2016,F,6-9,240,September 29 1988,University of Texas at Austin
John Duren,1981,1983,G,6-3,195,October 30 1958,Georgetown University
Jarrett Durham,1972,1972,F,6-5,188,August 22 1949,Duquesne University
Pat Durham,1993,1995,F,6-7,210,March 10 1967,Colorado State University
Devin Durrant,1985,1986,F,6-7,200,October 20 1960,Brigham Young University
Ken Durrett,1972,1975,F,6-7,190,December 8 1948,La Salle University
Dennis DuVal,1975,1976,G,6-3,175,March 31 1952,Syracuse University
Jack Dwan,1949,1949,F-G,6-4,200,May 3 1921,Loyola University of Chicago
Craig Dykema,1982,1982,F,6-8,190,June 11 1959,California State University Long Beach
Gene Dyker,1954,1954,F,6-6,225,February 17 1930,DePaul University
Jerome Dyson,2012,2012,G,6-3,180,May 1 1987,University of Connecticut
