<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Walter McCarty,1997,2006,F,6-10,230,February 1 1974,University of Kentucky
Amal McCaskill,1997,2004,F-C,6-11,235,October 28 1973,Marquette University
Dwayne McClain,1986,1986,G,6-6,185,February 7 1963,Villanova University
Ted McClain,1972,1979,G,6-1,180,August 30 1946,Tennessee State University
Dan McClintock,2001,2001,C,7-0,270,April 19 1977,Northern Arizona University
Jack McCloskey,1953,1953,G,6-2,190,September 19 1925,University of Pennsylvania
George McCloud,1990,2002,G-F,6-6,205,May 27 1967,Florida State University
C.J. McCollum,2014,2016,G,6-4,200,September 19 1991,Lehigh University
John McConathy,1952,1952,F,6-5,195,April 9 1930,Northwestern State University
Bucky McConnell,1953,1953,G,5-10,170,July 1 1928,Marshall University
T.J. McConnell,2016,2016,G,6-2,200,March 25 1992,University of Arizona
Keith McCord,1981,1981,G,6-7,210,June 22 1957,University of Alabama at Birmingham
Tim McCormick,1985,1992,C,6-11,240,March 10 1962,University of Michigan
Jelani McCoy,1999,2008,C,6-10,245,December 6 1977,University of California Los Angeles
Paul McCracken,1973,1977,G,6-4,180,September 11 1950,California State University Northridge
Chris McCray,2007,2007,G,6-5,192,May 27 1984,University of Maryland
Rodney McCray,1984,1993,F-G,6-7,220,August 29 1961,University of Louisville
Scooter McCray,1984,1987,F-G,6-9,215,February 8 1960,University of Louisville
John McCullough,1982,1982,G,6-4,190,October 5 1956,University of Oklahoma
Clint McDaniel,1996,1996,G,6-4,180,February 26 1972,University of Arkansas
Xavier McDaniel,1986,1998,F,6-7,205,June 4 1963,Wichita State University
Jim McDaniels,1972,1978,C-F,6-11,228,April 2 1948,Western Kentucky University
K.J. McDaniels,2015,2016,G-F,6-6,205,February 9 1993,Clemson University
Doug McDermott,2015,2016,F,6-8,225,January 3 1992,Creighton University
Ben McDonald,1986,1989,F,6-8,210,July 20 1962,University of California Irvine
Glenn McDonald,1975,1977,F-G,6-6,190,March 18 1952,California State University Long Beach
Michael McDonald,1998,1998,C,6-10,232,February 13 1969,University of New Orleans
Roderick McDonald,1971,1973,F,6-6,205,April 9 1945,Whitworth
Hank McDowell,1982,1987,F-C,6-9,215,November 13 1959,University of Memphis
Antonio McDyess,1996,2011,F-C,6-9,220,September 7 1974,University of Alabama
Jim McElroy,1976,1982,G,6-3,190,October 4 1953,Central Michigan University
Patrick McFarland,1974,1976,F-G,6-5,185,December 7 1951,Saint Joseph's University
Ivan McFarlin,2007,2007,F,6-8,240,April 26 1982,Oklahoma State University
Mel McGaha,1949,1949,G,6-1,190,September 26 1926,University of Arkansas
Mitch McGary,2015,2016,F,6-10,255,June 6 1992,University of Michigan
JaVale McGee,2009,2016,C,7-0,270,January 19 1988,University of Nevada Reno
Mike McGee,1982,1990,G-F,6-5,190,July 29 1959,University of Michigan
Bill McGill,1963,1970,C-F,6-9,225,September 16 1939,University of Utah
George McGinnis,1972,1982,F-C,6-8,235,August 12 1950,Indiana University
Jon McGlocklin,1966,1976,G-F,6-5,205,June 10 1943,Indiana University
Tracy McGrady,1998,2012,F-G,6-8,210,May 24 1979,
Gil McGregor,1972,1972,F,6-8,240,June 14 1949,Wake Forest University
Elton McGriff,1968,1969,C,6-9,225,August 21 1942,Creighton University
Alfred McGuire*,1952,1955,G-F,6-2,180,September 7 1928,St. John's University
Allie McGuire,1974,1974,G,6-3,175,July 10 1951,Marquette University
Dick McGuire*,1950,1960,G,6-0,180,January 25 1926,St. John's University
Dominic McGuire,2008,2013,F,6-9,220,October 20 1985,California State University Fresno
Kevin McHale*,1981,1993,F-C,6-10,210,December 19 1957,University of Minnesota
Maurice McHartley,1968,1970,G-F,6-3,185,August 1 1942,North Carolina Agricultural and Technical State University
Jim McIlvaine,1995,2001,C,7-1,240,July 30 1972,Marquette University
Jeff McInnis,1997,2008,G,6-4,190,October 22 1974,University of North Carolina
Kenny McIntosh,1972,1975,F,6-7,225,January 21 1949,Eastern Michigan University
Bob McIntyre,1968,1970,F,6-6,215,January 23 1944,St. John's University
Jerry McKee,1970,1970,G,6-3,190,August 4 1946,Ohio University
Kevin McKenna,1982,1988,G-F,6-5,195,January 8 1959,Creighton University
Forrest McKenzie,1987,1987,F,6-7,200,February 16 1963,Loyola Marymount University
Stan McKenzie,1968,1974,F-G,6-5,195,October 6 1944,New York University
Derrick McKey,1988,2002,F-C,6-9,205,October 10 1966,University of Alabama
Aaron McKie,1995,2007,G,6-5,209,October 2 1972,Temple University
Billy McKinney,1979,1986,G,6-0,160,June 5 1955,Northwestern University
Bones McKinney,1947,1952,F-C,6-6,185,January 1 1919,University of North Carolina
Carlton McKinney,1990,1992,G,6-4,190,October 21 1964,Southern Methodist University
Ben McLemore,2014,2016,G,6-5,195,February 11 1993,University of Kansas
McCoy McLemore,1965,1972,F-C,6-7,230,April 3 1942,Drake University
George McLeod,1953,1953,F,6-5,200,January 3 1931,Texas Christian University
Keith McLeod,2004,2007,G,6-2,188,November 5 1979,Bowling Green State University
Roshown McLeod,1999,2001,F,6-8,221,November 17 1975,Duke University
Jack McMahon,1953,1960,G,6-1,185,December 3 1928,St. John's University
Nate McMillan,1987,1998,G-F,6-5,195,August 3 1964,North Carolina State University
Tom McMillen,1976,1986,F-C,6-11,215,May 26 1952,University of Maryland
Jim McMillian,1971,1979,F,6-5,215,March 11 1948,Columbia University
Shellie McMillon,1959,1962,F,6-5,205,March 11 1936,Bradley University
Mal McMullen,1950,1951,F-C,6-5,210,August 23 1927,Xavier University
Chet McNabb,1948,1948,F,6-2,200,September 19 1920,Arizona State University
Mark McNamara,1983,1991,C-F,6-11,235,June 8 1959,University of California
Joe McNamee,1951,1952,F-C,6-6,210,September 24 1926,University of San Francisco
Jerel McNeal,2015,2015,G,6-3,200,June 1 1987,Marquette University
Chris McNealy,1986,1988,F,6-7,210,July 15 1961,San Jose State University
Bob McNeill,1961,1962,G,6-1,170,October 22 1938,Saint Joseph's University
Larry McNeill,1974,1979,F-C,6-9,195,January 31 1951,Marquette University
Carl McNulty,1955,1955,G,6-3,185,February 14 1930,Purdue University
Paul McPherson,2001,2001,G,6-4,210,July 3 1978,DePaul University
Roy McPipe,1975,1975,G,6-3,205,May 5 1950,Montana State University Billings
Cozell McQueen,1987,1987,F,6-11,235,January 18 1962,North Carolina State University
Thales McReynolds,1966,1966,G,6-3,185,June 8 1943,Miles College
Josh McRoberts,2008,2016,F,6-10,240,February 28 1987,Duke University
Eric McWilliams,1973,1973,F,6-8,200,April 18 1950,California State University Long Beach
George Mearns,1947,1948,F,6-3,175,April 18 1922,University of Rhode Island
Stanislav Medvedenko,2001,2007,F,6-10,250,April 4 1979,
Darnell Mee,1994,1995,G,6-5,175,February 11 1971,Western Kentucky University
Jodie Meeks,2010,2016,G,6-4,208,August 21 1987,University of Kentucky
Cliff Meely,1972,1976,F-C,6-8,215,July 10 1947,University of Colorado
Scott Meents,1990,1991,F,6-10,225,January 4 1964,University of Illinois at Urbana-Champaign
Dick Mehen,1950,1952,F-C,6-5,195,May 20 1922,University of Tennessee
Monk Meineke,1953,1958,F-C,6-7,208,October 30 1930,University of Dayton
Carl Meinhold,1948,1949,G-F,6-2,185,March 29 1926,Long Island University
Salah Mejri,2016,2016,C,7-1,245,June 15 1986,
Gal Mekel,2014,2015,G,6-3,191,March 4 1988,Wichita State University
Bill Melchionni,1967,1976,G,6-1,165,October 19 1944,Villanova University
Gary Melchionni,1974,1975,G,6-2,185,January 19 1951,Duke University
Fab Melo,2013,2013,C,7-0,255,June 20 1990,Syracuse University
Ed Melvin,1947,1947,G,5-9,170,February 13 1916,Duquesne University
Dean Meminger,1972,1977,G,6-0,175,May 13 1948,Marquette University
Chuck Mencel,1956,1957,G,6-0,168,April 21 1933,University of Minnesota
John Mengelt,1972,1981,G,6-2,195,October 16 1949,Auburn University
Ken Menke,1950,1950,G,6-0,168,October 2 1922,University of Illinois at Urbana-Champaign
Pops Mensah-Bonsu,2007,2011,F,6-9,240,September 7 1983,George Washington University
Dewitt Menyard,1968,1968,C,6-10,210,May 24 1944,University of Utah
Ron Mercer,1998,2005,G-F,6-7,210,May 18 1976,University of Kentucky
Joe Meriweather,1976,1985,C-F,6-10,215,October 26 1953,Southern Illinois University
Porter Meriwether,1963,1963,G,6-2,180,March 16 1940,Tennessee State University
Tom Meschery,1962,1971,F,6-6,215,October 26 1938,Saint Mary's College of California
Bill Meyer,1968,1968,G,6-3,195,August 30 1943,Hiram College
Loren Meyer,1996,1999,C,6-10,257,December 30 1972,Iowa State University
Dave Meyers,1976,1980,F-C,6-8,215,April 21 1953,University of California Los Angeles
Stan Miasek,1947,1953,C-F,6-5,210,August 8 1924,
Larry Micheaux,1984,1985,F,6-9,220,March 24 1960,University of Houston
Jordan Mickey,2016,2016,F,6-8,235,July 9 1994,Louisiana State University
Khris Middleton,2013,2016,F-G,6-8,234,August 12 1991,Texas A&amp;M University
Red Mihalik,1947,1947,G,6-0,180,September 22 1916,
Chris Mihm,2001,2009,C,7-0,265,July 16 1979,University of Texas at Austin
Ed Mikan,1949,1954,C-F,6-8,230,October 20 1925,DePaul University
George Mikan*,1949,1956,C,6-10,245,June 18 1924,DePaul University
Larry Mikan,1971,1971,F,6-7,210,April 8 1948,University of Minnesota
Vern Mikkelsen*,1950,1959,F-C,6-7,230,October 21 1928,Hamline University
Al Miksis,1950,1950,C,6-7,210,February 2 1928,Western Illinois University
Aaron Miles,2006,2006,G,6-1,175,April 13 1983,University of Kansas
C.J. Miles,2006,2016,G-F,6-6,231,April 18 1987,
Darius Miles,2001,2009,F,6-9,210,October 9 1981,
Eddie Miles,1964,1972,G-F,6-4,195,July 5 1940,Seattle University
Marko Milic,1998,1999,G-F,6-6,235,May 7 1977,
Darko Milicic,2004,2013,F-C,7-0,250,June 20 1985,
Nat Militzok,1947,1947,F,6-3,195,May 3 1923,Cornell University
Andre Miller,2000,2016,G,6-3,200,March 19 1976,University of Utah
Anthony Miller,1995,2005,F,6-9,225,October 22 1971,Michigan State University
Bill Miller,1949,1949,F,6-3,190,November 24 1924,University of North Carolina
Bob Miller,1984,1984,F,6-10,230,July 9 1956,University of Cincinnati
Brad Miller,1999,2012,C,6-11,244,April 12 1976,Purdue University
Darius Miller,2013,2015,F,6-8,235,March 21 1990,University of Kentucky
Dick Miller,1981,1981,F,6-6,215,April 26 1958,University of Toledo
Eddie Miller,1953,1954,C-F,6-8,225,June 18 1931,Syracuse University
Harry Miller,1947,1947,C-F,6-4,230,July 28 1923,University of North Carolina
Jay Miller,1968,1971,F,6-5,205,July 19 1943,University of Notre Dame
Larry Miller,1969,1975,G-F,6-4,190,April 4 1946,University of North Carolina
Mike Miller,2001,2016,F-G,6-8,218,February 19 1980,University of Florida
Oliver Miller,1993,2004,C,6-9,280,April 6 1970,University of Arkansas
Quincy Miller,2013,2015,F,6-9,210,November 18 1992,Baylor University
Reggie Miller*,1988,2005,G-F,6-7,185,August 24 1965,University of California Los Angeles
Walt Miller,1947,1947,F,6-2,190,July 30 1915,Duquesne University
Chris Mills,1994,2003,F,6-6,215,January 25 1970,University of Arizona
John Mills,1947,1947,C-F,6-8,203,September 7 1919,Western Kentucky University
Patrick Mills,2010,2016,G,6-0,185,August 11 1988,Saint Mary's College of California
Terry Mills,1991,2001,F,6-10,230,December 21 1967,University of Michigan
Elijah Millsap,2015,2016,G-F,6-6,225,August 12 1987,University of Alabama at Birmingham
Paul Millsap,2007,2016,F,6-8,246,February 10 1985,Louisiana Tech University
Harold Miner,1993,1996,G,6-5,210,May 5 1971,University of Southern California
Yao Ming,2003,2011,C,7-6,310,September 12 1980,
Dirk Minniefield,1986,1988,G,6-3,180,January 17 1961,University of Kentucky
Dave Minor,1952,1953,G-F,6-2,185,February 24 1922,University of California Los Angeles
Greg Minor,1995,1999,G-F,6-6,210,September 18 1971,University of Louisville
Mark Minor,1973,1973,F,6-6,215,May 14 1950,Ohio State University
Nikola Mirotic,2015,2016,F,6-10,220,February 11 1991,
Wat Misaka,1948,1948,G,5-7,150,December 21 1923,University of Utah
Jason Miskiri,2000,2000,G,6-2,175,August 19 1975,George Mason University
Leland Mitchell,1968,1968,G,6-4,210,February 22 1941,Mississippi State University
Mike Mitchell,1979,1988,F,6-7,215,January 1 1956,Auburn University
Murray Mitchell,1950,1950,C,6-6,,March 19 1923,Sam Houston State University
Sam Mitchell,1990,2002,F,6-6,210,September 2 1963,Mercer University
Todd Mitchell,1989,1989,F,6-7,205,July 26 1966,Purdue University
Tony Mitchell,2014,2014,F,6-6,216,August 7 1989,University of Alabama
Tony Mitchell,2014,2014,F,6-8,235,April 7 1992,University of North Texas
Steve Mix,1970,1983,F,6-7,215,December 30 1947,University of Toledo
Bill Mlkvy,1953,1953,F,6-4,190,January 19 1931,Temple University
Cuttino Mobley,1999,2009,G,6-4,190,September 1 1975,University of Rhode Island
Eric Mobley,1995,1997,C,6-11,235,February 1 1970,University of Pittsburgh
Doug Moe,1968,1972,F-G,6-5,215,September 21 1938,University of North Carolina
Larry Moffett,1978,1978,F,6-8,210,November 5 1954,University of Nevada Las Vegas
Leo Mogus,1947,1951,F-C,6-4,190,April 13 1921,Youngstown State University
Nazr Mohammed,1999,2015,C,6-10,221,September 5 1977,University of Kentucky
Jerome Moiso,2001,2005,F,6-10,235,June 15 1978,University of California Los Angeles
Paul Mokeski,1980,1991,C-F,7-0,250,January 3 1957,University of Kansas
Jack Molinas,1954,1954,F,6-6,200,October 31 1931,Columbia University
Wayne Molis,1967,1968,F,6-8,230,April 17 1943,Lewis University
Sidney Moncrief,1980,1991,G,6-3,180,September 21 1957,University of Arkansas
Eric Money,1975,1980,G,6-0,170,February 6 1955,University of Arizona
Sergei Monia,2006,2006,F,6-8,220,April 15 1983,
Earl Monroe*,1968,1980,G,6-3,185,November 21 1944,Winston-Salem State University
Greg Monroe,2011,2016,C-F,6-11,265,June 4 1990,Georgetown University
Rodney Monroe,1992,1992,G,6-3,185,April 16 1968,North Carolina State University
Luis Montero,2016,2016,G,6-7,185,April 6 1993,Westchester CC
Howie Montgomery,1963,1963,F,6-5,220,August 22 1940,University of Texas-Pan American
Eric Montross,1995,2002,C,7-0,270,September 23 1971,University of North Carolina
Jamario Moon,2008,2012,F,6-8,205,June 13 1980,Meridian Community College
Jim Mooney,1953,1953,F,6-5,215,July 8 1930,Villanova University
Andre Moore,1988,1988,F,6-9,215,July 2 1964,Loyola University of Chicago
E'Twaun Moore,2012,2016,G,6-4,191,February 28 1989,Purdue University
Gene Moore,1969,1975,C-F,6-9,225,July 29 1945,Saint Louis University
Jackie Moore,1955,1957,F,6-5,180,September 24 1932,La Salle University
Johnny Moore,1981,1990,G,6-1,175,March 3 1958,University of Texas at Austin
Larry Moore,1968,1968,F,6-7,215,,
Lowes Moore,1981,1983,G,6-1,170,May 5 1957,West Virginia University
Mikki Moore,1999,2012,C,6-11,225,November 4 1975,University of Nebraska
Otto Moore,1969,1977,C-F,6-11,205,August 27 1946,University of Texas-Pan American
Richard Moore,1968,1968,G,6-2,190,,Hiram Scott College
Ron Moore,1988,1988,C,7-0,260,January 16 1962,West Virginia State University
Tracy Moore,1992,1997,G-F,6-4,200,December 28 1965,University of Tulsa
Eric Moreland,2015,2016,F-C,6-10,238,December 24 1991,Oregon State University
Jackie Moreland,1961,1970,F-G,6-7,215,March 11 1938,Louisiana Tech University
Guy Morgan,1983,1983,G,6-8,205,August 23 1960,Wake Forest University
Rex Morgan,1971,1972,G,6-5,190,October 27 1948,Jacksonville University
Elmore Morgenthaler,1947,1949,C,6-9,230,August 3 1922,New Mexico Institute of Mining and Technology
Darren Morningstar,1994,1994,C,6-10,235,April 22 1969,University of Pittsburgh
Chris Morris,1989,1999,F,6-8,210,January 20 1966,Auburn University
Darius Morris,2012,2015,G,6-4,190,January 3 1991,University of Michigan
Isaiah Morris,1993,1993,F,6-8,229,April 2 1969,University of Arkansas
Marcus Morris,2012,2016,F,6-9,235,September 2 1989,University of Kansas
Markieff Morris,2012,2016,F,6-10,245,September 2 1989,University of Kansas
Max Morris,1950,1950,F-C,6-2,195,March 14 1925,Northwestern University
Randolph Morris,2007,2010,C,6-10,266,January 2 1986,University of Kentucky
Terence Morris,2002,2006,F,6-9,221,January 11 1979,University of Maryland
Adam Morrison,2007,2010,F,6-8,205,July 19 1984,Gonzaga University
John Morrison,1968,1968,G,6-2,190,May 2 1945,Canisius College
Mike Morrison,1990,1990,G,6-4,195,August 16 1967,Loyola College in Maryland
Red Morrison,1955,1958,F-C,6-8,220,April 26 1932,University of Idaho
Anthony Morrow,2009,2016,G,6-5,210,September 27 1985,Georgia Institute of Technology
Dwayne Morton,1995,1995,F,6-7,195,August 8 1971,University of Louisville
John Morton,1990,1992,G,6-3,180,May 18 1967,Seton Hall University
Richard Morton,1989,1989,G,6-3,190,February 2 1966,California State University Fullerton
Glenn Mosley,1978,1979,F,6-8,195,December 26 1955,Seton Hall University
Perry Moss,1986,1987,G,6-2,185,November 11 1958,Northeastern University
Lawrence Moten,1996,1998,G,6-5,185,March 25 1972,Syracuse University
Donatas Motiejunas,2013,2015,F-C,7-0,222,September 20 1990,
Hanno Mottola,2001,2002,C,6-11,247,September 9 1976,University of Utah
Arnett Moultrie,2013,2014,F,6-11,249,November 18 1990,Mississippi State University
Rick Mount,1971,1975,G,6-3,175,January 5 1947,Purdue University
Alonzo Mourning*,1993,2008,C,6-10,240,February 8 1970,Georgetown University
Timofey Mozgov,2011,2016,C,7-1,275,July 16 1986,
Chuck Mrazovich,1951,1951,F,6-5,185,February 26 1924,Eastern Kentucky University
Emmanuel Mudiay,2016,2016,G,6-5,200,March 5 1996,
Erwin Mueller,1967,1974,C-F,6-8,230,March 12 1944,University of San Francisco
Shabazz Muhammad,2014,2016,G-F,6-6,223,November 13 1992,University of California Los Angeles
Joe Mullaney,1950,1950,G,6-0,165,November 17 1925,College of the Holy Cross
Bob Mullens,1947,1947,G,6-1,175,November 1 1922,Fordham University
Byron Mullens,2010,2014,C,7-0,275,February 14 1989,Ohio State University
Chris Mullin*,1986,2001,F-G,6-6,200,July 30 1963,St. John's University
Jeff Mullins,1965,1976,G-F,6-4,190,March 18 1942,Duke University
Todd Mundt,1996,1996,C,7-0,250,May 17 1970,Delta State University
