<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Antonio Anderson,2010,2010,G,6-6,215,June 5 1985,University of Memphis
Cliff Anderson,1968,1971,G-F,6-2,200,September 7 1944,Saint Joseph's University
Dan Anderson,1968,1969,C,6-10,230,February 15 1943,Augsburg College
Dan Anderson,1975,1976,G,6-2,185,January 1 1951,University of Southern California
Derek Anderson,1998,2008,G,6-5,194,July 18 1974,University of Kentucky
Dwight Anderson,1983,1983,G,6-3,185,December 28 1960,University of Southern California
Eric Anderson,1993,1994,F,6-9,220,May 26 1970,Indiana University
Greg Anderson,1988,1998,F-C,6-10,230,June 22 1964,University of Houston
J.J. Anderson,1983,1985,F,6-8,195,September 23 1960,Bradley University
James Anderson,2011,2016,G-F,6-6,213,March 25 1989,Oklahoma State University
Jerome Anderson,1976,1977,G,6-5,195,October 9 1953,West Virginia University
Justin Anderson,2016,2016,G,6-6,228,November 19 1993,University of Virginia
Kenny Anderson,1992,2005,G,6-0,168,October 9 1970,Georgia Institute of Technology
Kim Anderson,1979,1979,F,6-7,200,May 12 1955,University of Missouri
Kyle Anderson,2015,2016,G-F,6-9,230,September 20 1993,University of California Los Angeles
Michael Anderson,1989,1989,G,5-11,184,March 23 1966,Drexel University
Nick Anderson,1990,2002,F-G,6-6,205,January 20 1968,University of Illinois at Urbana-Champaign
Richard Anderson,1983,1990,F-C,6-10,240,November 19 1960,University of California Santa Barbara
Ron Anderson,1985,1994,F-G,6-7,215,October 15 1958,California State University Fresno
Ryan Anderson,2009,2016,F,6-10,240,May 6 1988,University of California
Shandon Anderson,1997,2006,F-G,6-6,208,December 31 1973,University of Georgia
Willie Anderson,1989,1997,G-F,6-7,190,January 8 1967,University of Georgia
Wally Anderzunas,1970,1970,C-F,6-7,220,January 11 1946,Creighton University
Martynas Andriuskevicius,2006,2006,C,7-2,240,March 12 1986,
Don Anielak,1955,1955,F,6-7,190,November 1 1930,Missouri State University
Michael Ansley,1990,1992,F,6-7,225,February 8 1967,University of Alabama
Chris Anstey,1998,2000,C,7-0,249,January 1 1975,
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6 1994,
Carmelo Anthony,2004,2016,F,6-8,240,May 29 1984,Syracuse University
Greg Anthony,1992,2002,G,6-0,176,November 15 1967,University of Nevada Las Vegas
Joel Anthony,2008,2015,C,6-9,245,August 9 1982,University of Nevada Las Vegas
Pero Antic,2014,2015,F,6-11,260,July 29 1982,
Rafael Araujo,2005,2007,C,6-11,280,August 12 1980,Brigham Young University
Stacey Arceneaux,1962,1962,F,6-4,210,February 17 1936,Iowa State University
Robert Archibald,2003,2004,F,6-11,250,March 29 1980,University of Illinois at Urbana-Champaign
Tiny Archibald*,1971,1984,G,6-1,150,September 2 1948,University of Texas at El Paso
Jim Ard,1971,1978,F-C,6-8,215,September 19 1948,University of Cincinnati
Gilbert Arenas,2002,2012,G,6-3,191,January 6 1982,University of Arizona
Trevor Ariza,2005,2016,F,6-8,215,June 30 1985,University of California Los Angeles
Paul Arizin*,1951,1962,F-G,6-4,190,April 9 1928,Villanova University
Joe Arlauckas,1988,1988,F,6-9,230,July 20 1965,Niagara University
B.J. Armstrong,1990,2000,G,6-2,175,September 9 1967,University of Iowa
Bob Armstrong,1957,1957,C-F,6-8,220,June 17 1933,Michigan State University
Brandon Armstrong,2002,2004,G,6-5,188,June 16 1980,Pepperdine University
Curly Armstrong,1949,1951,G-F,5-11,170,November 1 1918,Indiana University
Darrell Armstrong,1995,2008,G,6-0,170,June 22 1968,Fayetteville State University
Hilton Armstrong,2007,2014,F-C,6-11,235,November 11 1984,University of Connecticut
Tate Armstrong,1978,1979,G,6-3,175,October 5 1955,Duke University
Jesse Arnelle,1956,1956,F,6-5,220,December 30 1933,Pennsylvania State University
Jay Arnette,1964,1966,G,6-2,175,December 19 1938,University of Texas at Austin
Bob Arnzen,1970,1974,F,6-5,205,November 3 1947,University of Notre Dame
Carlos Arroyo,2002,2011,G,6-2,202,July 30 1979,Florida International University
Darrell Arthur,2009,2016,F,6-9,235,March 25 1988,University of Kansas
John Arthurs,1970,1970,G,6-4,185,August 15 1947,Tulane University
Omer Asik,2011,2016,C,7-0,255,July 4 1986,
Vincent Askew,1988,1998,G-F,6-6,210,February 28 1966,University of Memphis
Keith Askins,1991,1999,G-F,6-7,197,December 15 1967,University of Alabama
Don Asmonga,1954,1954,G,6-2,185,February 15 1928,Alliance College
Dick Atha,1956,1958,G,6-2,190,September 21 1931,Indiana State University
Chucky Atkins,2000,2010,G,5-11,160,August 14 1974,University of South Florida
Al Attles,1961,1971,G,6-0,175,November 7 1936,North Carolina Agricultural and Technical State University
Chet Aubuchon,1947,1947,G,5-10,137,May 18 1916,Michigan State University
Stacey Augmon,1992,2006,F-G,6-8,205,August 1 1968,University of Nevada Las Vegas
D.J. Augustin,2009,2016,G,6-0,183,November 10 1987,University of Texas at Austin
James Augustine,2007,2008,F,6-10,235,February 27 1984,University of Illinois at Urbana-Champaign
Isaac Austin,1992,2002,C,6-10,255,August 18 1969,Arizona State University
Johnny Austin,1967,1968,G,6-0,170,August 31 1944,Boston College
Ken Austin,1984,1984,F,6-9,205,July 15 1961,Rice University
Anthony Avent,1993,2000,F,6-9,235,October 18 1969,Seton Hall University
Bird Averitt,1974,1978,G,6-1,170,July 22 1952,Pepperdine University
William Avery,2000,2002,G,6-2,197,August 8 1979,Duke University
Dennis Awtrey,1971,1982,C,6-10,235,February 22 1948,Santa Clara University
Gustavo Ayon,2012,2014,C,6-10,250,April 1 1985,
Jeff Ayres,2010,2015,F,6-9,240,April 29 1987,Arizona State University
Kelenna Azubuike,2007,2012,G,6-5,220,December 16 1983,University of Kentucky
