<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Marshall Hawkins,1950,1950,F,6-3,205,August 3 1924,University of Tennessee
Michael Hawkins,1997,2001,G,6-0,178,October 28 1972,Xavier University
Robert Hawkins,1976,1979,G,6-4,190,June 30 1954,Illinois State University
Tom Hawkins,1960,1969,F,6-5,210,December 22 1936,University of Notre Dame
Nate Hawthorne,1974,1976,G,6-4,190,January 15 1950,Southern Illinois University
Chuck Hayes,2006,2016,F-C,6-6,240,June 11 1983,University of Kentucky
Elvin Hayes*,1969,1984,F-C,6-9,235,November 17 1945,University of Houston
Jarvis Hayes,2004,2010,F,6-7,220,August 9 1981,University of Georgia
Jim Hayes,1971,1971,G,6-3,200,February 18 1948,Boston University
Steve Hayes,1982,1986,C,7-0,205,August 2 1955,Idaho State University
Gordon Hayward,2011,2016,F-G,6-8,226,March 23 1990,Butler University
Lazar Hayward,2011,2013,F,6-6,225,November 26 1986,Marquette University
Brendan Haywood,2002,2015,C,7-0,268,November 27 1979,University of North Carolina
Spencer Haywood*,1970,1983,F-C,6-8,225,April 22 1949,University of Detroit Mercy
John Hazen,1949,1949,G,6-2,172,March 2 1927,Indiana State University
Walt Hazzard,1965,1974,G,6-2,185,April 15 1942,University of California Los Angeles
Luther Head,2006,2011,G,6-3,185,November 26 1982,University of Illinois at Urbana-Champaign
Shane Heal,1997,2004,G,6-0,180,September 6 1970,
Brian Heaney,1970,1970,G,6-2,180,September 3 1946,Acadia University
Gar Heard,1971,1981,F,6-6,219,May 3 1948,University of Oklahoma
Herm Hedderick,1955,1955,G,6-5,170,January 1 1930,Canisius College
Alvin Heggs,1996,1996,F,6-8,225,December 12 1967,University of Texas at Austin
Tom Heinsohn*,1957,1965,F-C,6-7,218,August 26 1934,College of the Holy Cross
Dick Hemric,1956,1957,F,6-6,220,August 29 1933,Wake Forest University
Alan Henderson,1996,2007,F,6-9,235,December 2 1972,Indiana University
Cedric Henderson,1987,1987,F,6-8,210,October 3 1965,University of Georgia
Cedric Henderson,1998,2002,F,6-7,215,March 11 1975,University of Memphis
Dave Henderson,1988,1988,G,6-5,195,July 21 1964,Duke University
Gerald Henderson,1980,1992,G,6-2,175,January 16 1956,Virginia Commonwealth University
Gerald Henderson,2010,2015,G,6-5,215,December 9 1987,Duke University
J.R. Henderson,1999,1999,F,6-8,226,October 30 1976,University of California Los Angeles
Jerome Henderson,1986,1987,C-F,6-11,230,October 5 1959,University of New Mexico
Kevin Henderson,1987,1988,G,6-4,195,March 22 1964,California State University Fullerton
Tom Henderson,1975,1983,G,6-3,190,January 26 1952,University of Hawaii
Mark Hendrickson,1997,2000,F,6-9,220,June 23 1974,Washington State University
Larry Hennessy,1956,1957,G,6-3,185,May 20 1929,Villanova University
Don Henriksen,1953,1955,F-C,6-7,225,October 10 1929,University of California
Al Henry,1971,1972,C,6-9,190,February 9 1949,University of Wisconsin
Bill Henry,1949,1950,C,6-9,215,December 27 1924,Rice University
Carl Henry,1986,1986,G,6-6,205,August 16 1960,University of Kansas
Conner Henry,1987,1988,G,6-7,195,July 21 1963,University of California Santa Barbara
Skeeter Henry,1994,1994,G,6-7,190,December 8 1967,University of Oklahoma
Xavier Henry,2011,2015,G,6-6,220,March 15 1991,University of Kansas
John Henson,2013,2016,F,6-11,229,December 28 1990,University of North Carolina
Steve Henson,1991,1999,G,5-11,177,February 2 1968,Kansas State University
Charles Hentz,1971,1971,F,6-5,210,September 13 1947,University of Arkansas at Pine Bluff
Bill Herman,1950,1950,G,6-3,170,May 17 1924,Mount Union College
Kleggie Hermsen,1947,1953,C-F,6-9,225,March 12 1923,University of Minnesota
Chris Herren,2000,2001,G,6-2,197,September 27 1975,California State University Fresno
Carl Herrera,1992,1999,F,6-9,215,December 14 1966,University of Houston
Walter Herrmann,2007,2009,F,6-9,225,June 26 1979,
Keith Herron,1979,1982,G-F,6-6,195,June 14 1956,Villanova University
Sonny Hertzberg,1947,1951,G,5-10,175,July 29 1922,City College of New York
Dan Hester,1971,1971,F,6-8,210,November 8 1948,Louisiana State University
Fred Hetzel,1966,1971,F-C,6-8,220,July 21 1942,Davidson College
Bill Hewitt,1969,1975,F,6-7,210,August 8 1944,University of Southern California
Jack Hewson,1948,1948,F-C,6-6,195,September 7 1924,Temple University
Art Heyman,1964,1970,F-G,6-5,205,June 24 1941,Duke University
Mario Hezonja,2016,2016,F-G,6-8,215,February 25 1995,
Roy Hibbert,2009,2016,C,7-2,270,December 11 1986,Georgetown University
Nat Hickey,1948,1948,G-F,5-11,180,January 30 1902,
Phil Hicks,1977,1979,F,6-7,205,January 31 1953,Tulane University
J.J. Hickson,2009,2016,F,6-9,242,September 4 1988,North Carolina State University
Bill Higgins,1975,1975,G,6-2,180,December 15 1952,Ashland University
Cory Higgins,2012,2013,G,6-5,180,June 14 1989,University of Colorado
Earle Higgins,1971,1971,F,6-8,195,December 30 1946,Eastern Michigan University
Mike Higgins,1990,1991,F,6-9,220,February 17 1967,University of Northern Colorado
Rod Higgins,1983,1995,F-C,6-7,200,January 31 1960,California State University Fresno
Sean Higgins,1991,1998,G-F,6-9,205,December 30 1968,University of Michigan
Kenny Higgs,1979,1982,G,6-0,180,January 31 1955,Louisiana State University
Johnny High,1980,1984,G,6-3,185,April 25 1957,University of Nevada Reno
Wayne Hightower,1963,1972,F-C,6-8,192,January 14 1940,University of Kansas
Nene Hilario,2003,2016,F-C,6-11,250,September 13 1982,
Armond Hill,1977,1984,G,6-4,190,March 31 1953,Princeton University
Cleo Hill,1962,1962,G,6-1,185,May 24 1938,Winston-Salem State University
Gary Hill,1964,1965,G,6-4,185,October 7 1941,Oklahoma City University
George Hill,2009,2016,G,6-3,188,May 4 1986,Indiana University-Purdue University Indianapolis
Grant Hill,1995,2013,F-G,6-8,225,October 5 1972,Duke University
Jordan Hill,2010,2016,C-F,6-10,235,July 27 1987,University of Arizona
Simmie Hill,1970,1974,F,6-7,233,November 14 1946,West Texas A&amp;M University
Solomon Hill,2014,2016,F,6-7,225,March 18 1991,University of Arizona
Steven Hill,2009,2009,C,7-0,248,November 14 1985,University of Arkansas
Tyrone Hill,1991,2004,F,6-9,240,March 19 1968,Xavier University
Art Hillhouse,1947,1948,C,6-7,220,June 12 1916,Long Island University
Darnell Hillman,1972,1980,F-C,6-9,215,August 29 1949,San Jose State University
Fred Hilton,1972,1973,G-F,6-3,185,January 15 1948,Grambling State University
Kirk Hinrich,2004,2016,G,6-4,190,January 2 1981,University of Kansas
Roy Hinson,1984,1991,F-C,6-9,210,May 2 1961,Rutgers University
Mel Hirsch,1947,1947,G,5-6,165,July 31 1921,Brooklyn College
Lew Hitch,1952,1957,F-C,6-8,200,July 16 1929,Kansas State University
Robert Hite,2007,2007,G,6-2,184,January 12 1984,University of Miami
Darington Hobson,2012,2012,G,6-7,210,September 29 1987,University of New Mexico
Donald Hodge,1992,1996,C,7-0,230,February 25 1969,Temple University
Julius Hodge,2006,2007,G,6-7,210,November 18 1983,North Carolina State University
Craig Hodges,1983,1992,G,6-2,190,June 27 1960,California State University Long Beach
Charlie Hoefer,1947,1948,G,5-9,158,July 12 1917,Queens College
Paul Hoffman,1948,1955,G-F,6-2,195,April 12 1925,Purdue University
Bob Hogsett,1967,1968,F,6-7,230,January 29 1941,University of Tennessee
Paul Hogue,1963,1964,C,6-9,240,April 28 1940,University of Cincinnati
Fred Hoiberg,1996,2005,G,6-4,203,October 15 1972,Iowa State University
Doug Holcomb,1949,1949,F,6-4,200,February 9 1925,University of Wisconsin
Randy Holcomb,2006,2006,F,6-9,225,August 8 1979,San Diego State University
Jrue Holiday,2010,2016,G,6-4,205,June 12 1990,University of California Los Angeles
Justin Holiday,2013,2016,G-F,6-6,185,April 5 1989,University of Washington
Brad Holland,1980,1982,G,6-3,180,December 6 1956,University of California Los Angeles
Joe Holland,1950,1952,F,6-4,185,September 26 1925,University of Kentucky
Wilbur Holland,1976,1979,G,6-0,175,November 8 1951,University of New Orleans
Lionel Hollins,1976,1985,G,6-3,185,October 19 1953,Arizona State University
Ryan Hollins,2007,2015,C,7-0,240,October 10 1984,University of California Los Angeles
Essie Hollis,1979,1979,F,6-6,195,May 16 1955,St. Bonaventure University
Rondae Hollis-Jefferson,2016,2016,F,6-7,220,January 3 1995,University of Arizona
Dennis Holman,1968,1968,G,6-3,175,October 8 1945,Southern Methodist University
Richaun Holmes,2016,2016,F,6-10,245,October 15 1993,Bowling Green State University
Jim Holstein,1953,1956,F-G,6-3,180,September 24 1930,University of Cincinnati
A.W. Holt,1971,1971,F,6-7,210,August 26 1946,Jackson State University
Mike Holton,1985,1990,G,6-4,185,August 4 1961,University of California Los Angeles
Dick Holub,1948,1948,C,6-6,205,October 29 1921,Long Island University
Joe Holup,1957,1959,F,6-6,215,February 26 1934,George Washington University
Red Holzman*,1949,1954,G,5-10,175,August 10 1920,City College of New York
Jerald Honeycutt,1998,1999,F-G,6-9,245,October 20 1974,Tulane University
Tyler Honeycutt,2012,2013,F,6-8,188,July 15 1990,University of California Los Angeles
Derek Hood,2000,2000,F,6-8,222,December 22 1976,University of Arkansas
Rodney Hood,2015,2016,G-F,6-8,206,October 20 1992,Duke University
Bobby Hooper,1969,1969,G,6-0,180,December 22 1946,University of Dayton
Carroll Hooser,1968,1968,F,6-7,230,March 5 1944,Southern Methodist University
Tom Hoover,1964,1969,C,6-9,230,January 23 1941,Villanova University
Bob Hopkins,1957,1960,C-F,6-8,205,November 3 1934,Grambling State University
Dave Hoppen,1988,1993,C-F,6-11,235,March 13 1964,University of Nebraska
Dennis Hopson,1988,1992,G-F,6-5,200,April 22 1965,Ohio State University
Scotty Hopson,2014,2014,G,6-7,204,August 8 1989,University of Tennessee
Johnny Horan,1956,1956,F,6-8,190,November 24 1932,University of Dayton
Cedrick Hordges,1981,1982,F-C,6-8,220,January 8 1957,University of South Carolina
Al Horford,2008,2016,F-C,6-10,245,June 3 1986,University of Florida
Tito Horford,1989,1994,C,7-1,245,January 19 1966,University of Miami
Ron Horn,1962,1968,F,6-7,220,May 24 1938,Indiana University
Jeff Hornacek,1987,2000,G,6-3,190,May 3 1963,Iowa State University
Dennis Horner,2012,2012,F,6-9,230,February 5 1988,North Carolina State University
Robert Horry,1993,2008,F,6-9,220,August 25 1970,University of Alabama
Ed Horton,1990,1990,F,6-8,230,December 17 1967,University of Iowa
Bill Hosket,1969,1972,F-C,6-8,225,December 20 1946,Ohio State University
Bob Houbregs*,1954,1958,C-F,6-7,210,March 12 1932,University of Washington
Eddie House,2001,2011,G,6-1,180,May 14 1978,Arizona State University
Allan Houston,1994,2005,G,6-6,200,April 20 1971,University of Tennessee
Byron Houston,1993,1996,F,6-5,250,November 22 1969,Oklahoma State University
Tom Hovasse,1995,1995,F,6-8,205,January 31 1967,Pennsylvania State University
Brian Howard,1992,1993,F,6-6,204,October 19 1967,North Carolina State University
Dwight Howard,2005,2016,C-F,6-11,265,December 8 1985,
Greg Howard,1971,1972,F-C,6-9,215,January 8 1948,University of New Mexico
Josh Howard,2004,2013,F-G,6-7,210,April 28 1980,Wake Forest University
Juwan Howard,1995,2013,F,6-9,240,February 7 1973,University of Michigan
Mo Howard,1977,1977,G,6-2,170,August 25 1954,University of Maryland
Otis Howard,1979,1979,F,6-7,220,November 5 1956,Austin Peay State University
Stephen Howard,1993,1998,F,6-9,225,July 15 1970,DePaul University
Bailey Howell*,1960,1971,F,6-7,210,January 20 1937,Mississippi State University
Bob Hubbard,1948,1949,C-F,6-6,215,December 27 1922,Springfield College
Phil Hubbard,1980,1989,F-C,6-8,215,December 13 1956,University of Michigan
Lester Hudson,2010,2015,G,6-3,190,August 7 1984,University of Tennessee at Martin
Lou Hudson,1967,1979,F-G,6-5,210,July 11 1944,University of Minnesota
Troy Hudson,1998,2008,G,6-1,170,March 13 1976,Southern Illinois University
Marcelo Huertas,2016,2016,G,6-3,185,May 25 1983,
Nate Huffman,2003,2003,C,7-1,245,April 2 1975,Central Michigan University
Alfredrick Hughes,1986,1986,F-G,6-5,215,July 19 1962,Loyola University of Chicago
Eddie Hughes,1988,1990,G,5-10,165,May 26 1960,Colorado State University
Kim Hughes,1976,1981,C,6-11,220,June 4 1952,University of Wisconsin
Larry Hughes,1999,2012,G,6-5,184,January 23 1979,Saint Louis University
Rick Hughes,2000,2000,F,6-9,235,August 22 1973,Thomas More College
Robbie Hummel,2014,2015,F,6-8,215,March 8 1989,Purdue University
John Hummer,1971,1976,F-C,6-9,230,May 4 1948,Princeton University
Ryan Humphrey,2003,2005,F,6-8,235,July 24 1979,University of Notre Dame
Jay Humphries,1985,1995,G,6-3,185,October 17 1962,University of Colorado
Kris Humphries,2005,2016,F,6-9,235,February 6 1985,University of Minnesota
Hot Rod Hundley,1958,1963,G,6-4,185,October 26 1934,West Virginia University
Brandon Hunter,2004,2005,F,6-7,260,November 24 1980,Ohio University
Cedric Hunter,1992,1992,G,6-0,180,January 16 1965,University of Kansas
Chris Hunter,2010,2010,F,6-11,240,July 7 1984,University of Michigan
Les Hunter,1965,1973,F-C,6-7,210,August 16 1942,Loyola University of Chicago
Lindsey Hunter,1994,2010,G,6-2,170,December 3 1970,Jackson State University
Othello Hunter,2009,2010,F,6-8,225,May 28 1986,Ohio State University
R.J. Hunter,2016,2016,G,6-5,185,October 24 1993,Georgia State University
Steven Hunter,2002,2010,C,7-0,220,October 31 1981,DePaul University
Bobby Hurley,1994,1998,G,6-0,165,June 28 1971,Duke University
Roy Hurley,1947,1947,F-G,6-2,170,August 12 1922,Murray State University
Geoff Huston,1980,1987,G,6-2,175,November 8 1957,Texas Tech University
Paul Huston,1948,1948,F,6-3,175,June 2 1925,Ohio State University
Mel Hutchins,1952,1958,F-C,6-6,200,November 22 1928,Brigham Young University
Joe Hutton,1951,1952,G,6-1,170,October 6 1928,Hamline University
Greg Hyder,1971,1971,F,6-6,215,June 21 1948,Eastern New Mexico University
