Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Trevor Booker,2011,2016,F,6-8,228,November 25 1987,Clemson University,booketr01
Carlos Boozer,2003,2015,F-C,6-9,258,November 20 1981,Duke University,boozeca01
Chris Bosh,2004,2016,F-C,6-11,235,March 24 1984,Georgia Institute of Technology,boshch01
Avery Bradley,2011,2016,G,6-2,180,November 26 1990,University of Texas at Austin,bradlav01
Corey Brewer,2008,2016,F-G,6-9,186,March 5 1986,University of Florida,breweco01
Aaron Brooks,2008,2016,G,6-0,161,January 14 1985,University of Oregon,brookaa01
Anthony Brown,2016,2016,F,6-7,210,October 10 1992,Stanford University,brownan02
Jabari Brown,2015,2015,G,6-4,215,December 18 1992,University of Missouri,brownja01
Lorenzo Brown,2014,2015,G,6-5,189,August 26 1990,North Carolina State University,brownlo01
Markel Brown,2015,2016,G,6-3,190,January 29 1992,Oklahoma State University,brownma02
Shannon Brown,2007,2015,G,6-4,205,November 29 1985,Michigan State University,brownsh01
Kobe Bryant,1997,2016,G-F,6-6,212,August 23 1978,,bryanko01
Chase Budinger,2010,2016,F,6-7,209,May 22 1988,University of Arizona,budinch01
Reggie Bullock,2014,2016,G-F,6-7,205,March 16 1991,University of North Carolina,bullore01
Trey Burke,2014,2016,G,6-1,191,November 12 1992,University of Michigan,burketr01
Alec Burks,2012,2016,G,6-6,214,July 20 1991,University of Colorado,burksal01
Caron Butler,2003,2016,F,6-7,228,March 13 1980,University of Connecticut,butleca01
Jimmy Butler,2012,2016,G-F,6-7,220,September 14 1989,Marquette University,butleji01
Rasual Butler,2003,2016,G-F,6-7,215,May 23 1979,La Salle University,butlera01
Dwight Buycks,2014,2015,G,6-3,190,March 6 1989,Marquette University,buyckdw01
Will Bynum,2006,2015,G,6-0,185,January 4 1983,Georgia Institute of Technology,bynumwi01
Bruno Caboclo,2015,2015,F,6-9,205,September 21 1995,,cabocbr01
Nick Calathes,2014,2015,G,6-6,213,February 7 1989,University of Florida,calatni01
Jose Calderon,2006,2016,G,6-3,200,September 28 1981,,caldejo01
Kentavious Caldwell-Pope,2014,2016,G,6-5,205,February 18 1993,University of Georgia,caldwke01
Isaiah Canaan,2014,2016,G,6-0,201,May 21 1991,Murray State University,canaais01
DeMarre Carroll,2010,2016,F,6-8,212,July 27 1986,University of Missouri,carrode01
Vince Carter,1999,2016,G-F,6-6,220,January 26 1977,University of North Carolina,cartevi01
Michael Carter-Williams,2014,2016,G,6-6,190,October 10 1991,Syracuse University,cartemi01
Omri Casspi,2010,2016,F,6-9,225,June 22 1988,,casspom01
Willie Cauley-Stein,2016,2016,F-C,7-0,240,August 18 1993,University of Kentucky,caulewi01
Mario Chalmers,2009,2016,G,6-2,190,May 19 1986,University of Kansas,chalmma01
Tyson Chandler,2002,2016,C,7-1,240,October 2 1982,,chandty01
Wilson Chandler,2008,2015,F,6-8,225,May 10 1987,DePaul University,chandwi01
Will Cherry,2015,2015,G,6-0,185,February 8 1991,University of Montana,cherrwi01
Patrick Christopher,2015,2015,G-F,6-5,209,June 3 1988,University of California,chrispa01
Earl Clark,2010,2015,F,6-10,225,January 17 1988,University of Louisville,clarkea01
Ian Clark,2014,2016,G,6-3,175,March 7 1991,Belmont University,clarkia01
Jordan Clarkson,2015,2016,G,6-5,185,June 7 1992,University of Missouri,clarkjo01
Victor Claver,2013,2015,F,6-9,224,August 30 1988,,clavevi01
Norris Cole,2012,2015,G,6-2,175,October 13 1988,Cleveland State University,coleno01
Darren Collison,2010,2016,G,6-0,175,August 23 1987,University of California Los Angeles,collida01
Nick Collison,2005,2016,F,6-10,255,October 26 1980,University of Kansas,collini01
Mike Conley,2008,2016,G,6-1,175,October 11 1987,Ohio State University,conlemi01
Pat Connaughton,2016,2016,G,6-5,206,January 6 1993,University of Notre Dame,connapa01
Jack Cooley,2015,2015,F,6-9,260,April 4 1991,University of Notre Dame,cooleja01
Chris Copeland,2013,2016,F,6-9,239,March 17 1984,University of Colorado,copelch01
Bryce Cotton,2015,2015,G,6-1,165,August 11 1992,Providence College,cottobr01
DeMarcus Cousins,2011,2016,C-F,6-11,270,August 13 1990,University of Kentucky,couside01
Robert Covington,2014,2016,F,6-9,215,December 14 1990,Tennessee State University,covinro01
Allen Crabbe,2014,2016,G-F,6-6,210,April 9 1992,University of California,crabbal01
Jamal Crawford,2001,2016,G,6-5,195,March 20 1980,University of Michigan,crawfja01
Jae Crowder,2013,2016,F,6-6,235,July 6 1990,Marquette University,crowdja01
Dante Cunningham,2010,2016,F,6-8,230,April 22 1987,Villanova University,cunnida01
Jared Cunningham,2013,2016,G,6-4,195,May 22 1991,Oregon State University,cunnija01
Seth Curry,2014,2016,G,6-2,185,August 23 1990,Duke University,curryse01
Stephen Curry,2010,2016,G,6-3,185,March 14 1988,Davidson College,curryst01
Samuel Dalembert,2002,2015,C,6-11,255,May 10 1981,Seton Hall University,dalemsa01
Troy Daniels,2014,2016,G,6-4,205,July 15 1991,Virginia Commonwealth University,danietr01
Luigi Datome,2014,2015,F,6-8,215,November 27 1987,,datomlu01
Brandon Davies,2014,2015,F,6-10,240,July 25 1991,Brigham Young University,daviebr01
Anthony Davis,2013,2016,F-C,6-10,253,March 11 1993,University of Kentucky,davisan02
Ed Davis,2011,2016,F,6-10,240,June 5 1989,University of North Carolina,davised01
Glen Davis,2008,2015,F,6-9,289,January 1 1986,Louisiana State University,davisgl01
Andre Dawkins,2015,2015,G,6-5,215,September 19 1991,Duke University,dawkian01
Austin Daye,2010,2015,F,6-11,220,June 5 1988,Gonzaga University,dayeau01
Dewayne Dedmon,2014,2016,C,7-0,245,August 12 1989,University of Southern California,dedmode01
Sam Dekker,2016,2016,F,6-9,230,May 6 1994,University of Wisconsin,dekkesa01
Matthew Dellavedova,2014,2016,G,6-4,198,September 8 1990,Saint Mary's College of California,dellama01
Luol Deng,2005,2016,F,6-9,220,April 16 1985,Duke University,denglu01
DeMar DeRozan,2010,2016,G,6-7,220,August 7 1989,University of Southern California,derozde01
Boris Diaw,2004,2016,F-C,6-8,250,April 16 1982,,diawbo01
Gorgui Dieng,2014,2016,C,6-11,241,January 18 1990,University of Louisville,dienggo01
Spencer Dinwiddie,2015,2016,G,6-6,200,April 6 1993,University of Colorado,dinwisp01
Joey Dorsey,2009,2015,F,6-8,268,December 16 1983,University of Memphis,dorsejo01
Toney Douglas,2010,2016,G,6-2,195,March 16 1986,Florida State University,douglto01
Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8 1987,University of Memphis,douglch01
Goran Dragic,2009,2016,G,6-3,190,May 6 1986,,dragigo01
Zoran Dragic,2015,2015,G-F,6-5,200,June 22 1989,,dragizo01
Larry Drew,2015,2015,G,6-2,180,March 5 1990,University of California Los Angeles,drewla02
Andre Drummond,2013,2016,C,6-11,279,August 10 1993,University of Connecticut,drumman01
Jared Dudley,2008,2016,F-G,6-7,225,July 10 1985,Boston College,dudleja01
Tim Duncan,1998,2016,F-C,6-11,250,April 25 1976,Wake Forest University,duncati01
Mike Dunleavy,2003,2015,F-G,6-9,230,September 15 1980,Duke University,dunlemi02
Kevin Durant,2008,2016,F,6-9,240,September 29 1988,University of Texas at Austin,duranke01
Cleanthony Early,2015,2016,F,6-8,210,April 17 1991,Wichita State University,earlycl01
Wayne Ellington,2010,2016,G,6-4,200,October 29 1987,University of North Carolina,ellinwa01
Monta Ellis,2006,2016,G,6-3,185,October 26 1985,,ellismo01
James Ennis,2015,2016,F,6-7,210,July 1 1990,California State University Long Beach,ennisja01
Tyler Ennis,2015,2016,G,6-3,194,August 24 1994,Syracuse University,ennisty01
Jeremy Evans,2011,2016,F,6-9,196,October 24 1987,Western Kentucky University,evansje01
Reggie Evans,2003,2015,F,6-8,245,May 18 1980,University of Iowa,evansre01
Tyreke Evans,2010,2015,G-F,6-6,220,September 19 1989,University of Memphis,evansty01
Dante Exum,2015,2015,G,6-6,190,July 13 1995,,exumda01
Festus Ezeli,2013,2016,C,6-11,255,October 21 1989,Vanderbilt University,ezelife01
Kenneth Faried,2012,2016,F,6-8,228,November 19 1989,Morehead State University,farieke01
Jordan Farmar,2007,2015,G,6-2,180,November 30 1986,University of California Los Angeles,farmajo01
Derrick Favors,2011,2016,F-C,6-10,265,July 15 1991,Georgia Institute of Technology,favorde01
Raymond Felton,2006,2016,G,6-1,205,June 26 1984,University of North Carolina,feltora01
Landry Fields,2011,2015,F,6-7,210,June 27 1988,Stanford University,fieldla01
Evan Fournier,2013,2016,G-F,6-7,205,October 29 1992,,fournev01
Randy Foye,2007,2016,G,6-4,213,September 24 1983,Villanova University,foyera01
Jamaal Franklin,2014,2015,G,6-5,191,July 21 1991,San Diego State University,frankja01
Tim Frazier,2015,2016,G,6-1,170,November 1 1990,Pennsylvania State University,fraziti01
Jimmer Fredette,2012,2015,G,6-2,195,February 25 1989,Brigham Young University,fredeji01
Joel Freeland,2013,2015,F-C,6-10,250,February 7 1987,,freeljo01
Channing Frye,2006,2016,F-C,6-11,255,May 17 1983,University of Arizona,fryech01
